source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
3320,0,icd_9,Paralysis agitans,381270,SNOMED,1970-01-01,2099-12-31,
70724,0,icd_9,"Pressure ulcer, stage IV",37160747,SNOMED,1970-01-01,2099-12-31,
5722,0,icd_9,Hepatic encephalopathy,4029488,SNOMED,1970-01-01,2099-12-31,
4549,0,icd_9,Asymptomatic varicose veins,312349,SNOMED,1970-01-01,2099-12-31,
3481,0,icd_9,Anoxic brain damage,377845,SNOMED,1970-01-01,2099-12-31,
34982,0,icd_9,Toxic encephalopathy,373764,SNOMED,1970-01-01,2099-12-31,
35782,0,icd_9,Critical illness polyneuropathy,374032,SNOMED,1970-01-01,2099-12-31,
V4984,0,icd_9,Bed confinement status,4084714,SNOMED,1970-01-01,2099-12-31,
2760,0,icd_9,Hyperosmolality and/or hypernatremia,441829,SNOMED,1970-01-01,2099-12-31,
4010,0,icd_9,Malignant essential hypertension,317898,SNOMED,1970-01-01,2099-12-31,
41519,0,icd_9,Other pulmonary embolism and infarction,43530605,SNOMED,1970-01-01,2099-12-31,
3510,0,icd_9,Bell's palsy,374923,SNOMED,1970-01-01,2099-12-31,
5723,0,icd_9,Portal hypertension,192680,SNOMED,1970-01-01,2099-12-31,
33385,0,icd_9,Subacute dyskinesia due to drugs,43531604,SNOMED,1970-01-01,2099-12-31,
4239,0,icd_9,Unspecified disease of pericardium,4175039,SNOMED,1970-01-01,2099-12-31,
34830,0,icd_9,"Encephalopathy, unspecified",372887,SNOMED,1970-01-01,2099-12-31,
8600,0,icd_9,Traumatic pneumothorax without mention of open wound into thorax,78009,SNOMED,1970-01-01,2099-12-31,
99677,0,icd_9,Other complications due to internal joint prosthesis,80269,SNOMED,1970-01-01,2099-12-31,
41400,0,icd_9,"Coronary atherosclerosis of unspecified type of vessel, native or graft",40481919,SNOMED,1970-01-01,2099-12-31,
V4986,0,icd_9,Do not resuscitate status,4149405,SNOMED,1970-01-01,2099-12-31,
71105,0,icd_9,"Pyogenic arthritis, pelvic region and thigh",80177,SNOMED,1970-01-01,2099-12-31,
V1042,0,icd_9,Personal history of malignant neoplasm of other parts of uterus,197230,SNOMED,1970-01-01,2099-12-31,
2761,0,icd_9,Hyposmolality and/or hyponatremia,435515,SNOMED,1970-01-01,2099-12-31,
3361,0,icd_9,Vascular myelopathies,136960,SNOMED,1970-01-01,2099-12-31,
5724,0,icd_9,Hepatorenal syndrome,196455,SNOMED,1970-01-01,2099-12-31,
36250,0,icd_9,"Macular degeneration (senile), unspecified",374028,SNOMED,1970-01-01,2099-12-31,
4160,0,icd_9,Primary pulmonary hypertension,4119611,SNOMED,1970-01-01,2099-12-31,
34831,0,icd_9,Metabolic encephalopathy,372892,SNOMED,1970-01-01,2099-12-31,
4011,0,icd_9,Benign essential hypertension,312648,SNOMED,1970-01-01,2099-12-31,
2762,0,icd_9,Acidosis,435517,SNOMED,1970-01-01,2099-12-31,
4240,0,icd_9,Mitral valve disorders,319843,SNOMED,1970-01-01,2099-12-31,
45620,0,icd_9,"Esophageal varices in diseases classified elsewhere, with bleeding",28779,SNOMED,1970-01-01,2099-12-31,
7140,0,icd_9,Rheumatoid arthritis,80809,SNOMED,1970-01-01,2099-12-31,
33829,0,icd_9,Other chronic pain,436096,SNOMED,1970-01-01,2099-12-31,
3659,0,icd_9,Unspecified glaucoma,437541,SNOMED,1970-01-01,2099-12-31,
2763,0,icd_9,Alkalosis,438730,SNOMED,1970-01-01,2099-12-31,
3569,0,icd_9,Unspecified hereditary and idiopathic peripheral neuropathy,375806,SNOMED,1970-01-01,2099-12-31,
99682,0,icd_9,Complications of transplanted liver,200616,SNOMED,1970-01-01,2099-12-31,
3484,0,icd_9,Compression of brain,377550,SNOMED,1970-01-01,2099-12-31,
340,0,icd_9,Multiple sclerosis,374919,SNOMED,1970-01-01,2099-12-31,
41401,0,icd_9,Coronary atherosclerosis of native coronary artery,40481919,SNOMED,1970-01-01,2099-12-31,
4168,0,icd_9,Other chronic pulmonary heart diseases,4195892,SNOMED,1970-01-01,2099-12-31,
5728,0,icd_9,Other sequelae of chronic liver disease,40481531,SNOMED,1970-01-01,2099-12-31,
4019,0,icd_9,Unspecified essential hypertension,320128,SNOMED,1970-01-01,2099-12-31,
3669,0,icd_9,Unspecified cataract,4001501,SNOMED,1970-01-01,2099-12-31,
4241,0,icd_9,Aortic valve disorders,314054,SNOMED,1970-01-01,2099-12-31,
8602,0,icd_9,Traumatic hemothorax without mention of open wound into thorax,201441,SNOMED,1970-01-01,2099-12-31,
V1046,0,icd_9,Personal history of malignant neoplasm of prostate,200962,SNOMED,1970-01-01,2099-12-31,
V5411,0,icd_9,Aftercare for healing traumatic fracture of upper arm,442619,SNOMED,1970-01-01,2099-12-31,
3485,0,icd_9,Cerebral edema,376690,SNOMED,1970-01-01,2099-12-31,
3572,0,icd_9,Polyneuropathy in diabetes,376112,SNOMED,1970-01-01,2099-12-31,
2764,0,icd_9,Mixed acid-base balance disorder,441536,SNOMED,1970-01-01,2099-12-31,
4233,0,icd_9,Cardiac tamponade,318450,SNOMED,1970-01-01,2099-12-31,
37000,0,icd_9,"Corneal ulcer, unspecified",373202,SNOMED,1970-01-01,2099-12-31,
34290,0,icd_9,"Hemiplegia, unspecified, affecting unspecified side",374022,SNOMED,1970-01-01,2099-12-31,
4254,0,icd_9,Other primary cardiomyopathies,4232495,SNOMED,1970-01-01,2099-12-31,
3453,0,icd_9,Grand mal status,373748,SNOMED,1970-01-01,2099-12-31,
2749,0,icd_9,"Gout, unspecified",72404,SNOMED,1970-01-01,2099-12-31,
9971,0,icd_9,"Cardiac complications, not elsewhere classified",321462,SNOMED,1970-01-01,2099-12-31,
37230,0,icd_9,"Conjunctivitis, unspecified",379019,SNOMED,1970-01-01,2099-12-31,
40291,0,icd_9,Unspecified hypertensive heart disease with heart failure,314378,SNOMED,1970-01-01,2099-12-31,
34400,0,icd_9,"Quadriplegia, unspecified",374914,SNOMED,1970-01-01,2099-12-31,
4142,0,icd_9,Chronic total occlusion of coronary artery,36712779,SNOMED,1970-01-01,2099-12-31,
45621,0,icd_9,"Esophageal varices in diseases classified elsewhere, without mention of bleeding",22340,SNOMED,1970-01-01,2099-12-31,
57451,0,icd_9,"Calculus of bile duct without mention of cholecystitis, with obstruction",443889,SNOMED,1970-01-01,2099-12-31,
