source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
1044,0,itemid,Pain Level,4178785,SNOMED,1970-01-01,2099-12-31,
224687,0,itemid,Minute Volume,4353621,SNOMED,1970-01-01,2099-12-31,
92,0,itemid,CPP,4353710,SNOMED,1970-01-01,2099-12-31,
603,0,itemid,Radial Pulse [Right],4277123,SNOMED,1970-01-01,2099-12-31,
6702,0,itemid,Arterial BP Mean #2,4090816,SNOMED,1970-01-01,2099-12-31,
202,0,itemid,GI#1 Tube PlaceCheck,46286305,SNOMED,1970-01-01,2099-12-31,
224445,0,itemid,GI #2 Tube Drainage,37160557,SNOMED,1970-01-01,2099-12-31,
223918,0,itemid,RL Strength/Movement,4065273,SNOMED,1970-01-01,2099-12-31,
8389,0,itemid,GI Intub #2 [Site],4108578,SNOMED,1970-01-01,2099-12-31,
434,0,itemid,Low Exhaled Min Vol,40480257,SNOMED,1970-01-01,2099-12-31,
224032,0,itemid,Impaired Skin Site #1,4165442,SNOMED,1970-01-01,2099-12-31,
224935,0,itemid,Impaired Skin Site #7,4165442,SNOMED,1970-01-01,2099-12-31,
1045,0,itemid,Pain Level/Response,4178785,SNOMED,1970-01-01,2099-12-31,
224903,0,itemid,Impaired Skin Drainage #3,37160560,SNOMED,1970-01-01,2099-12-31,
226104,0,itemid,Level of Consciousness,4169316,SNOMED,1970-01-01,2099-12-31,
8491,0,itemid,Atrial Pacemaker Sense [mA],4092037,SNOMED,1970-01-01,2099-12-31,
227368,0,itemid,20 Gauge Dressing Occlusive,4040920,SNOMED,1970-01-01,2099-12-31,
6926,0,itemid,Arterial BP #3,4298391,SNOMED,1970-01-01,2099-12-31,
224688,0,itemid,Respiratory Rate (Set),4313591,SNOMED,1970-01-01,2099-12-31,
604,0,itemid,Radiologic Study,4229297,SNOMED,1970-01-01,2099-12-31,
93,0,itemid,CT #1 Crepitus,4082179,SNOMED,1970-01-01,2099-12-31,
203,0,itemid,GI#1 Tube [Status],4120177,SNOMED,1970-01-01,2099-12-31,
223919,0,itemid,LU Strength/Movement,4065273,SNOMED,1970-01-01,2099-12-31,
436,0,itemid,Low Insp. Pressure,4058849,SNOMED,1970-01-01,2099-12-31,
8390,0,itemid,GI#1 Tube [Drain],44789265,SNOMED,1970-01-01,2099-12-31,
