source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
51164,0,item,CD19,4252065,SNOMED,1970-01-01,2099-12-31,
50971,0,item,Potassium,4173269,SNOMED,1970-01-01,2099-12-31,
51455,0,item,Polys,4097607,SNOMED,1970-01-01,2099-12-31,
51237,0,item,INR(PT),4286029,SNOMED,1970-01-01,2099-12-31,
51256,0,item,Neutrophils,4148615,SNOMED,1970-01-01,2099-12-31,
51120,0,item,Monocytes,4194332,SNOMED,1970-01-01,2099-12-31,
51116,0,item,Lymphocytes,4254663,SNOMED,1970-01-01,2099-12-31,
50899,0,item,Carbamazepine,4276435,SNOMED,1970-01-01,2099-12-31,
51100,0,item,"Sodium, Urine",4020682,SNOMED,1970-01-01,2099-12-31,
51167,0,item,CD2,44804904,SNOMED,1970-01-01,2099-12-31,
51127,0,item,"RBC, Ascites",4045585,SNOMED,1970-01-01,2099-12-31,
51001,0,item,Triiodothyronine (T3),4094598,SNOMED,1970-01-01,2099-12-31,
51198,0,item,Envelope Cells,4167751,SNOMED,1970-01-01,2099-12-31,
51074,0,item,"Barbiturate Screen, Urine",4091289,SNOMED,1970-01-01,2099-12-31,
51096,0,item,Porphobilinogen Screen,44806312,SNOMED,1970-01-01,2099-12-31,
51298,0,item,Von Willebrand Factor Activity,37392231,SNOMED,1970-01-01,2099-12-31,
51245,0,item,"Lymphocytes, Percent",37399254,SNOMED,1970-01-01,2099-12-31,
50973,0,item,Prolactin,4010412,SNOMED,1970-01-01,2099-12-31,
51238,0,item,Kappa,37311095,SNOMED,1970-01-01,2099-12-31,
51457,0,item,"RBC, Pleural",4286949,SNOMED,1970-01-01,2099-12-31,
51168,0,item,CD20,46286314,SNOMED,1970-01-01,2099-12-31,
51257,0,item,Nucleated Red Cells,37174425,SNOMED,1970-01-01,2099-12-31,
51002,0,item,Troponin I,4007805,SNOMED,1970-01-01,2099-12-31,
51128,0,item,"WBC, Ascites",4045585,SNOMED,1970-01-01,2099-12-31,
51117,0,item,Macrophage,4041974,SNOMED,1970-01-01,2099-12-31,
51199,0,item,Eosinophil Count,4216098,SNOMED,1970-01-01,2099-12-31,
51102,0,item,"Total Protein, Urine",4119650,SNOMED,1970-01-01,2099-12-31,
51246,0,item,Macrocytes,4190448,SNOMED,1970-01-01,2099-12-31,
51075,0,item,"Benzodiazepine Screen, Urine",44812145,SNOMED,1970-01-01,2099-12-31,
51122,0,item,Nucleated RBC,37399327,SNOMED,1970-01-01,2099-12-31,
50900,0,item,Carcinoembyronic Antigen (CEA),4244721,SNOMED,1970-01-01,2099-12-31,
51239,0,item,Lambda,37174402,SNOMED,1970-01-01,2099-12-31,
51097,0,item,"Potassium, Urine",4173269,SNOMED,1970-01-01,2099-12-31,
51458,0,item,"WBC, Pleural",4286949,SNOMED,1970-01-01,2099-12-31,
51299,0,item,Von Willebrand Factor Antigen,4252203,SNOMED,1970-01-01,2099-12-31,
50974,0,item,Prostate Specific Antigen,4272032,SNOMED,1970-01-01,2099-12-31,
51124,0,item,Plasma,37393629,SNOMED,1970-01-01,2099-12-31,
51247,0,item,MacroOvalocytes,4077505,SNOMED,1970-01-01,2099-12-31,
51200,0,item,Eosinophils,4216098,SNOMED,1970-01-01,2099-12-31,
50902,0,item,Chloride,4267665,SNOMED,1970-01-01,2099-12-31,
51130,0,item,Absolute CD3 Count,4197605,SNOMED,1970-01-01,2099-12-31,
51103,0,item,Uhold,4098358,SNOMED,1970-01-01,2099-12-31,
51176,0,item,"CD3 Cells, Percent",37392802,SNOMED,1970-01-01,2099-12-31,
51076,0,item,"Bicarbonate, Urine",4133673,SNOMED,1970-01-01,2099-12-31,
51259,0,item,Other Cells,4275183,SNOMED,1970-01-01,2099-12-31,
51003,0,item,Troponin T,4021291,SNOMED,1970-01-01,2099-12-31,
51240,0,item,Large Platelets,4260199,SNOMED,1970-01-01,2099-12-31,
51118,0,item,Mesothelial Cell,4039857,SNOMED,1970-01-01,2099-12-31,
51300,0,item,WBC Count,4298431,SNOMED,1970-01-01,2099-12-31,
51460,0,item,"Blood, Occult",4009330,SNOMED,1970-01-01,2099-12-31,
51098,0,item,"Prot. Electrophoresis, Urine",4251338,SNOMED,1970-01-01,2099-12-31,
51125,0,item,Polys,4097607,SNOMED,1970-01-01,2099-12-31,
50975,0,item,Protein Electrophoresis,4306931,SNOMED,1970-01-01,2099-12-31,
51248,0,item,MCH,4182871,SNOMED,1970-01-01,2099-12-31,
51156,0,item,CD13,37394377,SNOMED,1970-01-01,2099-12-31,
51260,0,item,Ovalocytes,4077505,SNOMED,1970-01-01,2099-12-31,
51131,0,item,Absolute CD4 Count,4209260,SNOMED,1970-01-01,2099-12-31,
51204,0,item,Factor V,4139434,SNOMED,1970-01-01,2099-12-31,
51005,0,item,Uptake Ratio,4031254,SNOMED,1970-01-01,2099-12-31,
51375,0,item,Lymphocytes,4254663,SNOMED,1970-01-01,2099-12-31,
51104,0,item,"Urea Nitrogen, Urine",4020122,SNOMED,1970-01-01,2099-12-31,
50903,0,item,Cholesterol Ratio (Total/HDL),4195214,SNOMED,1970-01-01,2099-12-31,
51078,0,item,"Chloride, Urine",4033092,SNOMED,1970-01-01,2099-12-31,
51301,0,item,White Blood Cells,4097906,SNOMED,1970-01-01,2099-12-31,
51158,0,item,CD14,4196845,SNOMED,1970-01-01,2099-12-31,
51243,0,item,Lupus Anticoagulant,4013365,SNOMED,1970-01-01,2099-12-31,
51249,0,item,MCHC,4290193,SNOMED,1970-01-01,2099-12-31,
51132,0,item,Absolute CD8 Count,4196736,SNOMED,1970-01-01,2099-12-31,
51099,0,item,Protein/Creatinine Ratio,4353852,SNOMED,1970-01-01,2099-12-31,
51448,0,item,Mesothelial Cells,4039857,SNOMED,1970-01-01,2099-12-31,
51265,0,item,Platelet Count,4267147,SNOMED,1970-01-01,2099-12-31,
50968,0,item,"Phenytoin, Free",4023002,SNOMED,1970-01-01,2099-12-31,
51006,0,item,Urea Nitrogen,4074649,SNOMED,1970-01-01,2099-12-31,
51206,0,item,Factor VIII,4148587,SNOMED,1970-01-01,2099-12-31,
51159,0,item,CD15,44805334,SNOMED,1970-01-01,2099-12-31,
51105,0,item,"Uric Acid, Urine",4084176,SNOMED,1970-01-01,2099-12-31,
51294,0,item,Target Cells,37397927,SNOMED,1970-01-01,2099-12-31,
51376,0,item,Macrophage,4041974,SNOMED,1970-01-01,2099-12-31,
51071,0,item,"Amphetamine Screen, Urine",4198138,SNOMED,1970-01-01,2099-12-31,
50895,0,item,Calculated TBG,44788957,SNOMED,1970-01-01,2099-12-31,
51252,0,item,Microcytes,4190448,SNOMED,1970-01-01,2099-12-31,
51244,0,item,Lymphocytes,4254663,SNOMED,1970-01-01,2099-12-31,
51450,0,item,Monos,4101905,SNOMED,1970-01-01,2099-12-31,
51250,0,item,MCV,4016239,SNOMED,1970-01-01,2099-12-31,
51211,0,item,Factor XIII,37394177,SNOMED,1970-01-01,2099-12-31,
51181,0,item,CD4/CD8 Ratio,37392800,SNOMED,1970-01-01,2099-12-31,
51093,0,item,"Osmolality, Urine",4237146,SNOMED,1970-01-01,2099-12-31,
51007,0,item,Uric Acid,4076924,SNOMED,1970-01-01,2099-12-31,
51266,0,item,Platelet Smear,4027143,SNOMED,1970-01-01,2099-12-31,
