source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
225459,0,itemid,Chest X-Ray,4163872,SNOMED,1970-01-01,2099-12-31,
225439,0,itemid,Endoscopy,4313889,SNOMED,1970-01-01,2099-12-31,
225204,0,itemid,Midline,4174900,SNOMED,1970-01-01,2099-12-31,
224274,0,itemid,22 Gauge,4047346,SNOMED,1970-01-01,2099-12-31,
225789,0,itemid,Sheath,4046739,SNOMED,1970-01-01,2099-12-31,
225457,0,itemid,Abdominal X-Ray,4145311,SNOMED,1970-01-01,2099-12-31,
225816,0,itemid,Wound Culture,4300827,SNOMED,1970-01-01,2099-12-31,
227550,0,itemid,ERCP,4308592,SNOMED,1970-01-01,2099-12-31,
225814,0,itemid,Stool Culture,4176154,SNOMED,1970-01-01,2099-12-31,
225454,0,itemid,Urine Culture,4176154,SNOMED,1970-01-01,2099-12-31,
225475,0,itemid,Respiratory Arrest,4203780,SNOMED,1970-01-01,2099-12-31,
225449,0,itemid,Pericardiocentesis,4149930,SNOMED,1970-01-01,2099-12-31,
225466,0,itemid,Cardiac Arrest,4220544,SNOMED,1970-01-01,2099-12-31,
225401,0,itemid,Blood Cultured,4097747,SNOMED,1970-01-01,2099-12-31,
225433,0,itemid,Chest Tube Placed,4141919,SNOMED,1970-01-01,2099-12-31,
225461,0,itemid,Pelvis,4058336,SNOMED,1970-01-01,2099-12-31,
225794,0,itemid,Non-invasive Ventilation,4177224,SNOMED,1970-01-01,2099-12-31,
224275,0,itemid,20 Gauge,4047346,SNOMED,1970-01-01,2099-12-31,
225966,0,itemid,Nasal Swab,4208080,SNOMED,1970-01-01,2099-12-31,
225399,0,itemid,Lumbar Puncture,4080549,SNOMED,1970-01-01,2099-12-31,
225436,0,itemid,CRRT Filter Change,37018292,SNOMED,1970-01-01,2099-12-31,
225802,0,itemid,Dialysis - CRRT,37018292,SNOMED,1970-01-01,2099-12-31,
225446,0,itemid,PEG Insertion,4147133,SNOMED,1970-01-01,2099-12-31,
225479,0,itemid,Thoracentesis,4240305,SNOMED,1970-01-01,2099-12-31,
225400,0,itemid,Bronchoscopy,4032404,SNOMED,1970-01-01,2099-12-31,
225470,0,itemid,OR Sent,4119272,SNOMED,1970-01-01,2099-12-31,
228129,0,itemid,Family updated by RN,4197269,SNOMED,1970-01-01,2099-12-31,
225752,0,itemid,Arterial Line,4213288,SNOMED,1970-01-01,2099-12-31,
225434,0,itemid,Colonoscopy,4249893,SNOMED,1970-01-01,2099-12-31,
225451,0,itemid,Sputum Culture,4046479,SNOMED,1970-01-01,2099-12-31,
225448,0,itemid,Percutaneous Tracheostomy,4143728,SNOMED,1970-01-01,2099-12-31,
225792,0,itemid,Invasive Ventilation,44790095,SNOMED,1970-01-01,2099-12-31,
224273,0,itemid,Presep Catheter,4164278,SNOMED,1970-01-01,2099-12-31,
225440,0,itemid,Fluoroscopy,4195288,SNOMED,1970-01-01,2099-12-31,
225441,0,itemid,Hemodialysis,4120120,SNOMED,1970-01-01,2099-12-31,
225444,0,itemid,Pan Culture,4176154,SNOMED,1970-01-01,2099-12-31,
225402,0,itemid,EKG,4155644,SNOMED,1970-01-01,2099-12-31,
227194,0,itemid,Extubation,4148972,SNOMED,1970-01-01,2099-12-31,
225468,0,itemid,Unplanned Extubation (patient-initiated),4148972,SNOMED,1970-01-01,2099-12-31,
225465,0,itemid,Chest Pain,40481095,SNOMED,1970-01-01,2099-12-31,
221216,0,itemid,X-ray,4178367,SNOMED,1970-01-01,2099-12-31,
225428,0,itemid,Blakemore D/C,4125150,SNOMED,1970-01-01,2099-12-31,
224263,0,itemid,Multi Lumen,4234018,SNOMED,1970-01-01,2099-12-31,
225469,0,itemid,OR Received,44789360,SNOMED,1970-01-01,2099-12-31,
221217,0,itemid,Ultrasound,4037672,SNOMED,1970-01-01,2099-12-31,
225432,0,itemid,Transthoracic Echo,4335825,SNOMED,1970-01-01,2099-12-31,
225202,0,itemid,Indwelling Port (PortaCath),4347796,SNOMED,1970-01-01,2099-12-31,
221214,0,itemid,CT scan,4300757,SNOMED,1970-01-01,2099-12-31,
225430,0,itemid,Cardiac Cath,4083211,SNOMED,1970-01-01,2099-12-31,
224566,0,itemid,14 Gauge,4047346,SNOMED,1970-01-01,2099-12-31,
221223,0,itemid,EEG,4181917,SNOMED,1970-01-01,2099-12-31,
225447,0,itemid,Percutaneous Drain Insertion,4073413,SNOMED,1970-01-01,2099-12-31,
225443,0,itemid,Nuclear Medicine,4155794,SNOMED,1970-01-01,2099-12-31,
225450,0,itemid,Radiation Therapy,1242725,SNOMED,1970-01-01,2099-12-31,
224385,0,itemid,Intubation,4202832,SNOMED,1970-01-01,2099-12-31,
224276,0,itemid,16 Gauge,4047346,SNOMED,1970-01-01,2099-12-31,
226476,0,itemid,Esophogeal Balloon,4297398,SNOMED,1970-01-01,2099-12-31,
224277,0,itemid,18 Gauge,4047346,SNOMED,1970-01-01,2099-12-31,
224270,0,itemid,Dialysis Catheter,40489914,SNOMED,1970-01-01,2099-12-31,
224264,0,itemid,PICC Line,4194123,SNOMED,1970-01-01,2099-12-31,
224560,0,itemid,PA Catheter,4164278,SNOMED,1970-01-01,2099-12-31,
224267,0,itemid,Cordis/Introducer,4259363,SNOMED,1970-01-01,2099-12-31,
223253,0,itemid,Magnetic Resonance Imaging,4013636,SNOMED,1970-01-01,2099-12-31,
225462,0,itemid,Interventional Radiology,4100357,SNOMED,1970-01-01,2099-12-31,
