source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
8345,0,icd_9,Other myectomy,4263918,SNOMED,1970-01-01,2099-12-31,
4223,0,icd_9,Other esophagoscopy,4171183,SNOMED,1970-01-01,2099-12-31,
8191,0,icd_9,Arthrocentesis,4233386,SNOMED,1970-01-01,2099-12-31,
9921,0,icd_9,Injection of antibiotic,4336314,SNOMED,1970-01-01,2099-12-31,
8843,0,icd_9,Arteriography of pulmonary arteries,4224157,SNOMED,1970-01-01,2099-12-31,
8872,0,icd_9,Diagnostic ultrasound of heart,4207654,SNOMED,1970-01-01,2099-12-31,
41,0,icd_9,Procedure on two vessels,4040551,SNOMED,1970-01-01,2099-12-31,
9390,0,icd_9,Non-invasive mechanical ventilation,37158404,SNOMED,1970-01-01,2099-12-31,
387,0,icd_9,Interruption of the vena cava,4021090,SNOMED,1970-01-01,2099-12-31,
3761,0,icd_9,Implant of pulsation balloon,4020229,SNOMED,1970-01-01,2099-12-31,
5011,0,icd_9,Closed (percutaneous) [needle] biopsy of liver,4123999,SNOMED,1970-01-01,2099-12-31,
9702,0,icd_9,Replacement of gastrostomy tube,4266224,SNOMED,1970-01-01,2099-12-31,
7815,0,icd_9,"Application of external fixator device, femur",40488930,SNOMED,1970-01-01,2099-12-31,
8314,0,icd_9,Fasciotomy,4013336,SNOMED,1970-01-01,2099-12-31,
66,0,icd_9,Percutaneous transluminal coronary angioplasty [PTCA],4006788,SNOMED,1970-01-01,2099-12-31,
8103,0,icd_9,"Other cervical fusion of the posterior column, posterior technique",4235729,SNOMED,1970-01-01,2099-12-31,
5012,0,icd_9,Open biopsy of liver,4220239,SNOMED,1970-01-01,2099-12-31,
9462,0,icd_9,Alcohol detoxification,37311131,SNOMED,1970-01-01,2099-12-31,
8914,0,icd_9,Electroencephalogram,4181917,SNOMED,1970-01-01,2099-12-31,
9656,0,icd_9,Other lavage of bronchus and trachea,4288098,SNOMED,1970-01-01,2099-12-31,
45,0,icd_9,Cranial or peripheral nerve graft,4099627,SNOMED,1970-01-01,2099-12-31,
8605,0,icd_9,Incision with removal of foreign body or device from skin and subcutaneous tissue,40483725,SNOMED,1970-01-01,2099-12-31,
8151,0,icd_9,Total hip replacement,4203771,SNOMED,1970-01-01,2099-12-31,
93,0,icd_9,Other operations on lacrimal gland,4233253,SNOMED,1970-01-01,2099-12-31,
4233,0,icd_9,Endoscopic excision or destruction of lesion or tissue of esophagus,43531557,SNOMED,1970-01-01,2099-12-31,
8847,0,icd_9,Arteriography of other intra-abdominal arteries,4347783,SNOMED,1970-01-01,2099-12-31,
8181,0,icd_9,Partial shoulder replacement,4205526,SNOMED,1970-01-01,2099-12-31,
