source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
7861,0,icd9,Stridor,253321,SNOMED,1970-01-01,2099-12-31,
4928,0,icd9,Other emphysema,4050734,SNOMED,1970-01-01,2099-12-31,
70724,0,icd9,"Pressure ulcer, stage IV",37160747,SNOMED,1970-01-01,2099-12-31,
5722,0,icd9,Hepatic encephalopathy,4029488,SNOMED,1970-01-01,2099-12-31,
4549,0,icd9,Asymptomatic varicose veins,312349,SNOMED,1970-01-01,2099-12-31,
7868,0,icd9,Hiccough,194475,SNOMED,1970-01-01,2099-12-31,
4588,0,icd9,Other specified hypotension,317002,SNOMED,1970-01-01,2099-12-31,
03843,0,icd9,Septicemia due to pseudomonas,4102189,SNOMED,1970-01-01,2099-12-31,
2760,0,icd9,Hyperosmolality and/or hypernatremia,441829,SNOMED,1970-01-01,2099-12-31,
4010,0,icd9,Malignant essential hypertension,317898,SNOMED,1970-01-01,2099-12-31,
43411,0,icd9,Cerebral embolism with cerebral infarction,43530605,SNOMED,1970-01-01,2099-12-31,
00845,0,icd9,Intestinal infection due to Clostridium difficile,193688,SNOMED,1970-01-01,2099-12-31,
5723,0,icd9,Portal hypertension,192680,SNOMED,1970-01-01,2099-12-31,
4589,0,icd9,"Hypotension, unspecified",317002,SNOMED,1970-01-01,2099-12-31,
44422,0,icd9,Arterial embolism and thrombosis of lower extremity,40481089,SNOMED,1970-01-01,2099-12-31,
78720,0,icd9,"Dysphagia, unspecified",31317,SNOMED,1970-01-01,2099-12-31,
99677,0,icd9,Other complications due to internal joint prosthesis,80269,SNOMED,1970-01-01,2099-12-31,
V1042,0,icd9,Personal history of malignant neoplasm of other parts of uterus,197230,SNOMED,1970-01-01,2099-12-31,
71105,0,icd9,"Pyogenic arthritis, pelvic region and thigh",80177,SNOMED,1970-01-01,2099-12-31,
2761,0,icd9,Hyposmolality and/or hyponatremia,435515,SNOMED,1970-01-01,2099-12-31,
49322,0,icd9,Chronic obstructive asthma with (acute) exacerbation,43530693,SNOMED,1970-01-01,2099-12-31,
4011,0,icd9,Benign essential hypertension,312648,SNOMED,1970-01-01,2099-12-31,
07030,0,icd9,"Viral hepatitis B without mention of hepatic coma, acute or unspecified, without mention of hepatitis delta",4313600,SNOMED,1970-01-01,2099-12-31,
1961,0,icd9,Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes,4131304,SNOMED,1970-01-01,2099-12-31,
0380,0,icd9,Streptococcal septicemia,28060,SNOMED,1970-01-01,2099-12-31,
5724,0,icd9,Hepatorenal syndrome,196455,SNOMED,1970-01-01,2099-12-31,
2762,0,icd9,Acidosis,435517,SNOMED,1970-01-01,2099-12-31,
03849,0,icd9,Other septicemia due to gram-negative organisms,4155957,SNOMED,1970-01-01,2099-12-31,
78722,0,icd9,"Dysphagia, oropharyngeal phase",440530,SNOMED,1970-01-01,2099-12-31,
4471,0,icd9,Stricture of artery,317305,SNOMED,1970-01-01,2099-12-31,
45620,0,icd9,"Esophageal varices in diseases classified elsewhere, with bleeding",28779,SNOMED,1970-01-01,2099-12-31,
45981,0,icd9,"Venous (peripheral) insufficiency, unspecified",321596,SNOMED,1970-01-01,2099-12-31,
43491,0,icd9,"Cerebral artery occlusion, unspecified with cerebral infarction",763003,SNOMED,1970-01-01,2099-12-31,
