concept_code,concept_name,frequency
00845,Intestinal infection due to Clostridium difficile,7
0380,Streptococcal septicemia,2
03811,Methicillin susceptible Staphylococcus aureus septicemia,2
03812,Methicillin resistant Staphylococcus aureus septicemia,2
03819,Other staphylococcal septicemia,1
0383,Septicemia due to anaerobes,2
03840,"Septicemia due to gram-negative organism, unspecified",1
03842,Septicemia due to escherichia coli [E. coli],1
03843,Septicemia due to pseudomonas,1
03849,Other septicemia due to gram-negative organisms,3
0388,Other specified septicemias,1
0389,Unspecified septicemia,24
04102,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group B",1
04104,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group D [Enterococcus]",1
04111,Methicillin susceptible Staphylococcus aureus in conditions classified elsewhere and of unspecified site,1
04112,Methicillin resistant Staphylococcus aureus in conditions classified elsewhere and of unspecified site,2
0413,Friedl?nder's bacillus infection in conditions classified elsewhere and of unspecified site,1
0416,Proteus (mirabilis) (morganii) infection in conditions classified elsewhere and of unspecified site,1
0417,Pseudomonas infection in conditions classified elsewhere and of unspecified site,1
04182,Bacteroides fragilis,1
0543,Herpetic meningoencephalitis,1
07030,"Viral hepatitis B without mention of hepatic coma, acute or unspecified, without mention of hepatitis delta",1
07032,Chronic viral hepatitis B without mention of hepatic coma without mention of hepatitis delta,1
07044,Chronic hepatitis C with hepatic coma,1
07054,Chronic hepatitis C without mention of hepatic coma,1
07070,Unspecified viral hepatitis C without hepatic coma,2
1120,Candidiasis of mouth,2
1122,Candidiasis of other urogenital sites,2
1124,Candidiasis of lung,1
1179,Other and unspecified mycoses,1
1508,Malignant neoplasm of other specified part of esophagus,2
1510,Malignant neoplasm of cardia,3
1539,"Malignant neoplasm of colon, unspecified site",1
1541,Malignant neoplasm of rectum,1
1561,Malignant neoplasm of extrahepatic bile ducts,1
1570,Malignant neoplasm of head of pancreas,1
1622,Malignant neoplasm of main bronchus,1
1623,"Malignant neoplasm of upper lobe, bronchus or lung",1
1625,"Malignant neoplasm of lower lobe, bronchus or lung",1
1628,Malignant neoplasm of other parts of bronchus or lung,4
1629,"Malignant neoplasm of bronchus and lung, unspecified",2
1890,"Malignant neoplasm of kidney, except pelvis",1
193,Malignant neoplasm of thyroid gland,1
1961,Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes,3
1962,Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes,2
1965,Secondary and unspecified malignant neoplasm of lymph nodes of inguinal region and lower limb,1
1966,Secondary and unspecified malignant neoplasm of intrapelvic lymph nodes,1
1970,Secondary malignant neoplasm of lung,8
1972,Secondary malignant neoplasm of pleura,2
1975,Secondary malignant neoplasm of large intestine and rectum,1
1976,Secondary malignant neoplasm of retroperitoneum and peritoneum,4
1977,"Malignant neoplasm of liver, secondary",9
1978,Secondary malignant neoplasm of other digestive organs and spleen,1
1980,Secondary malignant neoplasm of kidney,1
1983,Secondary malignant neoplasm of brain and spinal cord,4
1985,Secondary malignant neoplasm of bone and bone marrow,6
1987,Secondary malignant neoplasm of adrenal gland,1
19889,Secondary malignant neoplasm of other specified sites,1
20020,"Burkitt's tumor or lymphoma, unspecified site, extranodal and solid organ sites",2
20280,"Other malignant lymphomas, unspecified site, extranodal and solid organ sites",4
20300,"Multiple myeloma, without mention of having achieved remission",2
20410,"Chronic lymphoid leukemia, without mention of having achieved remission",1
