concept_code,concept_name,frequency
0.0,0.83% Sodium Chloride,1
0.0,0.9% Sodium Chloride,28
0.0,1/2 NS,1
0.0,5% Dextrose,28
0.0,AMP,8
0.0,Bag,16
0.0,Bupivacaine 0.1%,3
0.0,D5W,166
0.0,Dextrose 5%,29
0.0,Donepezil,1
0.0,Donepezil 5 mg or Placebo,1
0.0,Epidural Bag,3
0.0,Insulin,201
0.0,Iso-Osmotic Dextrose,265
0.0,Iso-Osmotic Sodium Chloride,26
0.0,Isotonic Sodium Chloride,4
0.0,Maalox/Diphenhydramine/Lidocaine,2
0.0,NS,54
0.0,Nesiritide,3
0.0,Normocarb,18
0.0,Papain 2.5 % Solution,1
0.0,Prismasate (B22 K4),7
0.0,Prismasate (B32 K2),8
0.0,SW,244
0.0,Sodium CITRATE 4%,1
0.0,Sodium Chloride 0.9%  Flush,206
0.0,Soln,16
0.0,Soln.,10
0.0,Solution,1
0.0,Sterile Diluent for Flolan,1
0.0,Sterile Water,6
0.0,Syringe,21
0.0,Syringe (0.9% Sodium Chloride),3
0.0,Syringe (Chemo),7
0.0,Syringe (IV Room),10
0.0,Vial,75
0.0,donepezil 5 mg or placebo,2
2202402.0,Sodium Chloride,2
2323560.0,Duloxetine,1
2324001.0,Duloxetine,2
2324030.0,Duloxetine,1
2324033.0,Duloxetine,13
2411233.0,Olanzapine,4
2411260.0,Olanzapine,2
2411533.0,Olanzapine,4
2445385.0,Olanzapine (Disintegrating Tablet),11
2735501.0,Vancomycin HCl,29
2735501.0,Vancomycin Oral Liquid,8
2751001.0,Insulin,10
2751101.0,Insulin,1
2759701.0,Olanzapine,2
2821501.0,Humulin-R Insulin,4
2821501.0,Insulin,7
2821501.0,Insulin Human Regular,16
2831501.0,Insulin,17
2871501.0,Insulin,8
3043730.0,Amphotericin B,2
3045051.0,Captopril,9
3083050.0,Hydroxyurea,2
3517806.0,Pravastatin,3
4003822.0,Valganciclovir HCl,4
4006850.0,Clonazepam,3
4014301.0,Calcitriol,1
4026129.0,Mycophenolate Mofetil,2
4026449.0,Torsemide,1
4029809.0,Mycophenolate Mofetil,3
4200278.0,CefTRIAXone,1
4200278.0,Ceftriaxone,9
4200378.0,CefTRIAXone,1
4200378.0,Ceftriaxone,1
4691106.0,Flumazenil,1
4694003.0,Ganciclovir,6
5927029.0,Demeclocycline,1
6003121.0,Alendronate Sodium,3
6004368.0,Phytonadione,7
6011728.0,Montelukast Sodium,3
6074928.0,Simvastatin,1
6095128.0,Losartan Potassium,3
6096328.0,Famotidine,3
6353750.0,Famotidine,13
6353750.0,Famotidine (IV),1
6362836.0,Dorzolamide 2%/Timolol 0.5% Ophth.,3
6384371.0,*NF* Ertapenem Sodium,1
6494300.0,PNEUMOcoccal Vac Polyvalent,1
6494300.0,Pneumococcal Vac Polyvalent,35
7313705.0,Cefazolin,3
7323211.0,Fondaparinux Sodium,1
7336721.0,Prochlorperazine,2
8039004.0,Penicillin V Potassium,2
8058107.0,Lorazepam,3
8058113.0,Lorazepam,3
8081401.0,Amiodarone HCl,7
8083303.0,Venlafaxine XR,1
8084199.0,Pantoprazole,67
8092303.0,Pantoprazole Sodium,15
8092355.0,Pantoprazole,5
8092355.0,Pantoprazole Sodium,59
8103006.0,Sirolimus,1
8104110.0,Sirolimus,2
8121801.0,Methylnaltrexone,3
8418806.0,Amiodarone HCl,3
9001201.0,Hydrocortisone,1
9003101.0,Hydrocortisone,1
9011312.0,Methylprednisolone Na Succ,1
9011319.0,MethylPREDNISolone Sodium Succ,5
9012101.0,Minoxidil,1
9014102.0,Glyburide,1
9017103.0,Glyburide,1
9019009.0,Methylprednisolone Na Succ,1
9019016.0,MethylPREDNISolone Sodium Succ,4
9076004.0,Clindamycin Suspension,1
9076502.0,Methylprednisolone Na Succ,2
9082501.0,Hydrocortisone Na Succ.,2
9082501.0,Hydrocortisone Na Succinate,6
9090020.0,Hydrocortisone Na Succ.,13
9338901.0,MethylPREDNISolone Sodium Succ,1
9338901.0,Methylprednisolone Na Succ.,10
9454101.0,Tolterodine,1
9454401.0,Tolterodine,2
9513502.0,Linezolid,2
9514001.0,Linezolid,9
13700112.0,Cabergoline,1
13700112.0,Dostinex,1
13830304.0,Latanoprost 0.005% Ophth. Soln.,2
