concept_code,concept_name,frequency
1,% Inspir. Time,3
24,ART Lumen Volume,47
25,AV Interval,1
26,AaDO2,4
27,Abdominal Assessment,1533
29,Access mmHg,265
31,Activity,1956
32,Activity Tolerance,1720
39,Airway Size,1060
40,Airway Type,1119
41,Alarms Activated,3
43,Angio Appearance #1 [Attribute 1],214
44,Angio Appearance #2 [Attribute 1],25
45,Angio Dressing #1,202
46,Angio Dressing #2,17
47,Angio Site #1,271
48,Angio Site #2,29
49,Anti-Embolism [Device],1384
50,Apnea Time Interval,774
51,Arterial BP [Systolic],4519
52,Arterial BP Mean,4473
54,Assistance Device,1779
55,Assisted Systole,11
56,Atrial Pacemaker [Sense],14
58,Atrial Pacemaker [mA],9
59,Augmented Diastole,11
60,Auto-PEEP Level,13
62,BAEDP,11
63,BIPAP - BPM,2
64,BIPAP - EPAP,19
66,BIPAP - IPAP,19
67,BIPAP - O2 lpm,17
68,BIPAP-Mode,14
69,BSA,90
70,BSA - English,46
71,BSA - Metric,46
72,Back Care,749
75,Baseline Current/mA,1
76,Bath,46
77,Behavior,822
79,Blood Flow ml/min,287
80,Bowel Sounds,1464
81,Brachial Pulse [Right],50
82,Braden Activity,804
83,Braden Frict/Shear,804
84,Braden Mobility,804
85,Braden Moisture,805
86,Braden Nutrition,802
87,Braden Score,800
88,Braden SensoryPercep,803
89,C.O. (fick),136
90,C.O.(thermodilution),510
92,CPP,5
93,CT #1 Crepitus,29
94,CT #1 Drainage,66
95,CT #1 Dressing,142
96,CT #1 [Fluctuate],67
97,CT #1 Suction Amount,72
99,CT #2 Drainage,9
100,CT #2 Dressing,9
101,CT #2 [Fluctuate],9
102,CT #2 Suction Amount,9
113,CVP,2923
114,CaO2,140
115,Capillary Refill [Right],30
116,Cardiac Index,666
118,Cerv Collar Status,201
119,Cervical Collar Type,212
121,Chest PT [Right],97
122,Chest Tube Site #1,79
123,Chest Tube Site #2,40
127,Circulation/SkinInt,737
128,Code Status,6967
129,Collar Care,148
130,Communication,304
131,Compliance (40-60ml),734
133,Cont.Nebulizer(Drug),3
134,Cooling [Device],109
135,Corneal Reflex [Right],126
136,Cough Effort,125
137,Cough Reflex,483
138,Cough Type,39
139,Cough/Deep Breathe,135
140,Cuff Leak,96
141,Cuff Pressure-Airway,52
142,Current Goal,293
146,Dialysate Flow ml/hr,286
147,Dialysate Infusing,286
148,Dialysis Access Site,289
149,Dialysis Access Type,289
150,Dialysis Machine,15
151,Dialysis Site Appear,224
152,Dialysis Type,289
153,Diastolic Unloading,7
154,Diet Type,1656
156,Dorsal PedPulse [Right],1096
157,ETT [Mark],915
158,ETT Position Change,52
159,Ectopy Frequency,5876
160,Ectopy Frequency 2,17
161,Ectopy Type,6942
162,Ectopy Type 2,17
163,Edema #1 [Location],164
164,Edema #2 [Location],105
165,Education Barrier,339
166,Education Handout,319
167,Education Learner,356
168,Education Method,345
169,Education Readiness,349
170,Education Response,343
171,Education Topic #1,980
172,Education Topic #2,288
173,Effluent Press mmHg,265
174,Emesis [Appearance],2
183,Eye Care,488
184,Eye Opening,1975
185,FIO2 Alarm-High,19
186,FIO2 Alarm-Low,22
187,Family Communication,612
188,Femoral Pulse [Right],48
189,FiO2 (Analyzed),20
190,FiO2 Set,1223
192,Filter Pressure mmHg,265
194,Flow-By (lpm),34
195,Flow-by Sensitivity,30
197,Follows Commands,1074
198,GCS Total,1951
199,GI [Guaiac],32
200,GI Intub #1 [Type],1151
201,GI Intub #2 [Type],115
202,GI#1 Tube PlaceCheck,440
203,GI#1 Tube [Status],858
204,GI#2 Tube PlaceCheck,25
205,GI#2 Tube [Status],92
207,GU Catheter Size,292
208,Gag Reflex,476
210,HOB,1930
211,Heart Rate,7396
212,Heart Rhythm,7095
216,Height of Bed,261
217,Heparin Dose,10
218,High Insp. Pressure,936
219,High Resp. Rate,914
221,I:E Ratio,500
224,IABP Mean,11
225,IABP setting,41
226,ICP,19
229,INV Line#1 [Type],1104
230,INV Line#1 Zero/Cal,439
232,INV Line#1SiteAppear,878
235,INV Line#2 [Type],807
236,INV Line#2 Zero/Cal,226
238,INV Line#2SiteAppear,590
241,INV Line#3 [Type],435
242,INV Line#3 Zero/Cal,167
244,INV Line#3SiteAppear,343
247,INV Line#4 [Type],162
248,INV Line#4 Zero/Cal,15
250,INV Line#4SiteAppear,91
253,INV Line#5 [Type],88
254,INV Line#5 Zero/Cal,14
256,INV Line#5SiteAppear,57
259,INV Line#6 [Type],60
260,INV Line#6 Zero/Cal,37
262,INV Line#6SiteAppear,50
265,INV Line#7 [Type],5
266,INV Line#7 Zero/Cal,2
268,INV Line#7SiteAppear,5
271,INV Line#8 [Type],51
274,INV Line#8SiteAppear,28
283,INV#1 WaveformAppear,597
284,INV#2 WaveformAppear,334
285,INV#3 WaveformAppear,261
286,INV#4 WaveformAppear,25
287,INV#5 WaveformAppear,19
288,INV#6 WaveformAppear,49
289,INV#7 WaveformAppear,5
294,IV #1 [Site],710
297,IV #2 [Site],441
300,IV #3 [Site],185
303,IV #4 [Site],79
324,IV Site Appear #1,605
325,IV Site Appear #2,355
326,IV Site Appear #3,169
327,IV Site Appear #4,69
338,Imp Skin Cleanse #1,115
339,Imp Skin Cleanse #2,32
340,Imp Skin Cleanse #3,12
341,Imp Skin Cleanse #4,3
342,Imp Skin Cleanse #5,3
343,Imp Skin Cleanse #6,3
344,ImpSkin Character #1,243
345,ImpSkin Character #2,133
346,ImpSkin Character #3,37
347,ImpSkin Character #4,3
348,ImpSkin Character #5,3
349,ImpSkin Character #6,3
350,ImpSkin #3 [Drain],31
351,ImpSkin #6 [Drain],3
352,ImpSkin #1 [Drain],111
353,ImpSkin #2 [Drain],39
354,ImpSkin #4 [Drain],3
355,ImpSkin #5 [Drain],3
356,ImpSkin Treatment #1,244
357,ImpSkin Treatment #2,132
358,ImpSkin Treatment #3,33
359,ImpSkin Treatment #4,4
360,ImpSkin Treatment #5,5
361,ImpSkin Treatment #6,5
362,ImpSkin Wound Base#1,186
363,ImpSkin Wound Base#2,110
364,ImpSkin Wound Base#3,29
365,ImpSkin Wound Base#4,3
366,ImpSkin Wound Base#5,3
367,ImpSkin Wound Base#6,3
368,ImpSkin #1 [Width],84
369,ImpSkin #2 [Width],6
371,ImpSkin #4 [Width],3
372,ImpSkin #5 [Width],3
373,ImpSkin #6 [Width],3
374,Impaired Skin Site#1,507
375,Impaired Skin Site#2,198
376,Impaired Skin Site#3,74
377,Impaired Skin Site#4,4
378,Impaired Skin Site#5,5
379,Impaired Skin Site#6,5
380,Inc Cleansing #1,58
381,Inc Cleansing #2,5
382,Inc Cleansing #3,16
386,Inc #1 [Closure],338
387,Inc #2 [Closure],186
388,Inc #3 [Closure],213
389,Inc #4 [Closure],34
392,Inc #1 [Drainage],408
393,Inc #2 [Drainage],279
394,Inc #3 [Drainage],281
395,Inc #4 [Drainage],43
398,Inc #1 [Dressing],477
399,Inc #2 [Dressing],346
400,Inc #3 [Dressing],329
403,Inc #4 [Dressing],61
405,Inc/Wound Packing #2,4
406,Inc/Wound Packing #3,1
410,Incentive Spirometry,74
411,Incision/Wound #1,779
412,Incision/Wound #2,553
413,Incision/Wound #3,522
414,Incision/Wound #4,127
417,Inspired Gas Temp,814
419,KneeImmobilizeLoc [Right],3
421,LCW,481
422,LCWI,481
