concept_code,concept_name,frequency
50800,SPECIMEN TYPE,1222
50801,Alveolar-arterial Gradient,64
50802,Base Excess,1166
50803,"Calculated Bicarbonate, Whole Blood",18
50804,Calculated Total CO2,1166
50805,Carboxyhemoglobin,5
50806,"Chloride, Whole Blood",87
50808,Free Calcium,558
50809,Glucose,283
50810,"Hematocrit, Calculated",126
50811,Hemoglobin,126
50812,Intubated,487
50813,Lactate,578
50814,Methemoglobin,5
50815,O2 Flow,44
50816,Oxygen,338
50817,Oxygen Saturation,343
50818,pCO2,1166
50819,PEEP,267
50820,pH,1230
50821,pO2,1166
50822,"Potassium, Whole Blood",256
50823,Required O2,64
50824,"Sodium, Whole Blood",107
50825,Temperature,439
50826,Tidal Volume,229
50827,Ventilation Rate,268
50828,Ventilator,140
50831,pH,2
50835,"Albumin, Ascites",11
50836,"Amylase, Ascites",4
50838,"Bilirubin, Total, Ascites",5
50841,"Creatinine, Ascites",5
50842,"Glucose, Ascites",6
50843,"Lactate Dehydrogenase, Ascites",7
50849,"Total Protein, Ascites",9
50852,% Hemoglobin A1c,23
50853,25-OH Vitamin D,1
50854,Absolute A1c,4
50855,Absolute Hemoglobin,4
50856,Acetaminophen,25
50857,Acetone,2
50861,Alanine Aminotransferase (ALT),609
50862,Albumin,414
50863,Alkaline Phosphatase,592
50864,Alpha-Fetoprotein,7
50866,Ammonia,23
50867,Amylase,128
50868,Anion Gap,2134
50871,Anti-Mitochondrial Antibody,2
50873,Anti-Nuclear Antibody,3
50874,"Anti-Nuclear Antibody, Titer",2
50876,Anti-Smooth Muscle Antibody,1
50878,Asparate Aminotransferase (AST),603
50879,Barbiturate Screen,26
50880,Benzodiazepine Screen,26
50881,Beta-2 Microglobulin,2
50882,Bicarbonate,2151
50883,"Bilirubin, Direct",60
50884,"Bilirubin, Indirect",54
50885,"Bilirubin, Total",629
50887,Blue Top Hold,64
50889,C-Reactive Protein,3
50890,C3,1
50891,C4,1
50892,CA-125,1
50893,"Calcium, Total",1757
50895,Calculated TBG,3
50896,Calculated Thyroxine (T4) Index,3
50898,Cancer Antigen 27.29,9
50899,Carbamazepine,1
50900,Carcinoembyronic Antigen (CEA),18
50902,Chloride,2160
50903,Cholesterol Ratio (Total/HDL),24
50904,"Cholesterol, HDL",24
50905,"Cholesterol, LDL, Calculated",24
50907,"Cholesterol, Total",25
50908,CK-MB Index,46
50909,Cortisol,64
50910,Creatine Kinase (CK),334
50911,"Creatine Kinase, MB Isoenzyme",319
50912,Creatinine,2175
50915,D-Dimer,5
50917,Digoxin,18
50919,EDTA Hold,19
50920,Estimated GFR (MDRD equation),207
50922,Ethanol,28
50924,Ferritin,50
50925,Folate,33
50926,Follicle Stimulating Hormone,5
50927,Gamma Glutamyltransferase,6
50929,Gentamicin,6
50930,Globulin,13
50931,Glucose,2121
50932,Gray Top Hold (plasma),1
50933,Green Top Hold (plasma),69
50935,Haptoglobin,41
50937,Hepatitis A Virus Antibody,3
50939,"Hepatitis B Core Antibody, IgM",3
50940,Hepatitis B Surface Antibody,23
50941,Hepatitis B Surface Antigen,21
50942,Hepatitis B Virus Core Antibody,7
50943,Hepatitis C Virus Antibody,7
50944,HIV Antibody,1
50946,Human Chorionic Gonadotropin,1
50948,Immunofixation,7
50949,Immunoglobulin A,9
50950,Immunoglobulin G,23
50951,Immunoglobulin M,9
50952,Iron,50
50953,"Iron Binding Capacity, Total",49
50954,Lactate Dehydrogenase (LD),423
50955,Light Green Top Hold,33
50956,Lipase,146
50958,Luteinizing Hormone,5
50960,Magnesium,1918
50961,Methotrexate,36
50963,NTproBNP,31
50964,"Osmolality, Measured",47
50965,Parathyroid Hormone,12
50966,Phenobarbital,31
50967,Phenytoin,58
50968,"Phenytoin, Free",9
50969,"Phenytoin, Percent Free",8
50970,Phosphate,1748
50971,Potassium,2279
50973,Prolactin,6
50974,Prostate Specific Antigen,10
50975,Protein Electrophoresis,11
50976,"Protein, Total",29
50978,Rapamycin,2
50979,Red Top Hold,82
50981,Salicylate,24
50983,Sodium,2185
50986,tacroFK,52
50988,Testosterone,2
50993,Thyroid Stimulating Hormone,73
50994,Thyroxine (T4),11
50995,"Thyroxine (T4), Free",22
50997,Tobramycin,6
50998,Transferrin,49
50999,Tricyclic Antidepressant Screen,24
51000,Triglycerides,37
51001,Triiodothyronine (T3),10
51002,Troponin I,14
51003,Troponin T,288
51005,Uptake Ratio,3
51006,Urea Nitrogen,2158
51007,Uric Acid,158
51008,Valproic Acid,15
51009,Vancomycin,176
51010,Vitamin B12,38
51014,"Glucose, CSF",11
51015,"Lactate Dehydrogenase, CSF",2
51017,"PEP, CSF",2
51018,"Total Protein, CSF",11
51025,"Albumin, Body Fluid",2
51026,"Amylase, Body Fluid",3
51028,"Bilirubin, Total, Body Fluid",1
51030,"Chloride, Body Fluid",1
51032,"Creatinine, Body Fluid",1
51034,"Glucose, Body Fluid",2
51035,"LD, Body Fluid",2
51041,"Potassium, Body Fluid",1
51042,"Sodium, Body Fluid",1
51043,"Total Protein, Body Fluid",2
51044,Triglycer,1
51046,"Albumin, Pleural",3
51047,"Amylase, Pleural",4
51049,"Bilirubin, Total, Pleural",2
51052,"Creatinine, Pleural",1
51053,"Glucose, Pleural",7
51054,"Lactate Dehydrogenase, Pleural",8
51059,"Total Protein, Pleural",8
51060,"Triglycerides, Pleural",3
51069,"Albumin, Urine",3
51070,"Albumin/Creatinine, Urine",3
51071,"Amphetamine Screen, Urine",19
51072,"Amylase, Urine",1
51073,"Amylase/Creatinine Ratio, Urine",1
51074,"Barbiturate Screen, Urine",19
51075,"Benzodiazepine Screen, Urine",19
51076,"Bicarbonate, Urine",4
51078,"Chloride, Urine",25
51079,"Cocaine, Urine",19
51082,"Creatinine, Urine",97
51086,"Immunofixation, Urine",4
51087,Length of Urine Collection,162
51090,"Methadone, Urine",19
51091,"Myoglobin, Urine",1
51092,"Opiate Screen, Urine",19
