concept_code,concept_name,frequency
#,86029447,1
#,86029467,1
#,86029481,1
#,86029553,1
#,86029645,1
#,86029753,1
#,86029964,1
#,86030067,1
#,86030333,1
#,86030607,1
#,86030770,1
#,86030928,1
#,86031060,1
#,86031285,1
#,86031538,1
#,86031672,1
#,86031811,1
#,86031981,1
#,86032122,1
#,86032152,1
#,86032245,1
#,86032344,1
#,86032467,1
#,86032576,1
#,86032690,1
#,86032825,1
#,86032922,1
#,86033107,1
#,86033175,1
#,86033300,1
#,86033440,1
#,86033603,1
#,86033674,1
#,86033801,1
#,86033937,1
#,86034078,1
#,86034199,1
#,86034274,1
#,86034392,1
#,86034551,1
#,86034678,1
#,86034803,1
#,86034914,1
#,86035087,1
#,86035129,1
#,86035161,1
#,86035247,1
#,86035278,1
#,86035322,1
#,86035362,1
#,86035431,1
#,86035602,1
#,86035720,1
#,86035825,1
#,86035972,1
#,86036058,1
#,86036160,1
#,86036264,1
#,86036306,1
#,86036343,1
#,86036440,1
#,86036590,1
#,86036698,1
#,86036853,1
#,86036973,1
#,86037127,1
#,86037268,1
#,86037455,1
#,86037598,1
#,86037824,1
#,86037902,1
#,86038031,1
#,86038136,1
#,86038231,1
#,86038284,1
#,86038393,1
#,86038498,1
#,86038599,1
#,86038694,1
#,86038716,1
#,86038801,1
#,86038920,1
#,86039007,1
#,86039186,1
#,86039282,1
#,86039390,1
#,86039484,1
#,86039584,1
#,86039635,1
#,86039742,1
#,86039894,1
#,86039999,1
#,86040112,1
#,86040183,1
#,86040301,1
#,86150705,1
#,86150866,1
#,86150970,1
#,86151107,1
#,86151186,1
#,86151271,1
#,86151460,1
#,86151583,1
#,86151620,1
#,86151737,1
#,86151769,1
#,86152076,1
#,86152169,1
#,86152504,1
#,86152717,1
#,86152778,1
#/uL,5387652,1
%,5279032,1
%,5279033,1
%,5279036,1
%,5279038,1
%,5279044,1
%,5279050,1
%,5279052,1
%,5279083,1
%,5279091,1
%,5279095,1
%,5279096,1
%,5279099,1
%,5279100,1
%,5279119,1
%,5279122,1
%,5279133,1
%,5279141,1
%,5279147,1
%,5279155,1
%,5279159,1
%,5279160,1
%,5279163,1
%,5279171,1
%,5279178,1
%,5279184,1
%,5279192,1
%,5279196,1
%,5279197,1
%,5279201,1
%,5279207,1
%,5279216,1
%,5279222,1
%,5279228,1
%,5279235,1
%,5279236,1
%,5279239,1
%,5279242,1
%,5279248,1
%,5279257,1
%,5279260,1
%,5279267,1
%,5279273,1
%,5279274,1
%,5279277,1
%,5279286,1
%,5279289,1
%,5279295,1
%,5279304,1
%,5279305,1
%,5279308,1
%,5279314,1
%,5279316,1
%,5279335,1
%,5279341,1
%,5279352,1
%,5279356,1
%,5279357,1
%,5279361,1
%,5279367,1
%,5279373,1
%,5279380,1
%,5279390,1
%,5279394,1
%,5279395,1
%,5279399,1
%,5279405,1
%,5279416,1
