sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
3320,Paralysis agitans,4,,1.00,UNCHECKED,UNREVIEWED,,0,381270,Parkinson's disease,Condition,MAPS_TO,,<auto>,1733323226101,
70724,"Pressure ulcer, stage IV",3,,0.81,UNCHECKED,UNREVIEWED,,0,37160747,Pressure injury stage I,Condition,MAPS_TO,,<auto>,1733323226168,
5722,Hepatic encephalopathy,4,,1.00,UNCHECKED,UNREVIEWED,,0,4029488,Hepatic encephalopathy,Condition,MAPS_TO,,<auto>,1733323226186,
4549,Asymptomatic varicose veins,1,,0.65,UNCHECKED,UNREVIEWED,,0,312349,Venous varices,Condition,MAPS_TO,,<auto>,1733323226194,
3481,Anoxic brain damage,3,,1.00,UNCHECKED,UNREVIEWED,,0,377845,Anoxic encephalopathy,Condition,MAPS_TO,,<auto>,1733323226211,
34982,Toxic encephalopathy,1,,1.00,UNCHECKED,UNREVIEWED,,0,373764,Toxic encephalopathy,Condition,MAPS_TO,,<auto>,1733323226253,
35782,Critical illness polyneuropathy,1,,1.00,UNCHECKED,UNREVIEWED,,0,374032,Critical illness polyneuropathy,Condition,MAPS_TO,,<auto>,1733323226285,
V4984,Bed confinement status,1,,0.35,UNCHECKED,UNREVIEWED,,0,4084714,Fear of enclosed spaces,Condition,MAPS_TO,,<auto>,1733323226417,
2760,Hyperosmolality and/or hypernatremia,17,,0.84,UNCHECKED,UNREVIEWED,,0,441829,Hyperosmolality and or hypernatremia,Condition,MAPS_TO,,<auto>,1733323226423,
4010,Malignant essential hypertension,1,,1.00,UNCHECKED,UNREVIEWED,,0,317898,Malignant essential hypertension,Condition,MAPS_TO,,<auto>,1733323226566,
41519,Other pulmonary embolism and infarction,3,,0.81,UNCHECKED,UNREVIEWED,,0,43530605,Pulmonary embolism with pulmonary infarction,Condition,MAPS_TO,,<auto>,1733323226581,
3510,Bell's palsy,1,,1.00,UNCHECKED,UNREVIEWED,,0,374923,Bell's palsy,Condition,MAPS_TO,,<auto>,1733323226613,
5723,Portal hypertension,3,,1.00,UNCHECKED,UNREVIEWED,,0,192680,Portal hypertension,Condition,MAPS_TO,,<auto>,1733323226683,
33385,Subacute dyskinesia due to drugs,1,,0.74,UNCHECKED,UNREVIEWED,,0,43531604,Subacute dyskinesia caused by drug,Condition,MAPS_TO,,<auto>,1733323226712,
4239,Unspecified disease of pericardium,3,,0.55,UNCHECKED,UNREVIEWED,,0,4175039,Calcification of pericardium,Condition,MAPS_TO,,<auto>,1733323226727,
34830,"Encephalopathy, unspecified",1,,0.59,UNCHECKED,UNREVIEWED,,0,372887,Disorder of brain,Condition,MAPS_TO,,<auto>,1733323226747,
8600,Traumatic pneumothorax without mention of open wound into thorax,1,,0.89,UNCHECKED,UNREVIEWED,,0,78009,Traumatic pneumothorax with open wound into thorax,Condition,MAPS_TO,,<auto>,1733323226916,
99677,Other complications due to internal joint prosthesis,1,,0.71,UNCHECKED,UNREVIEWED,,0,80269,Mechanical complication of internal joint prosthesis,Condition,MAPS_TO,,<auto>,1733323226944,
41400,"Coronary atherosclerosis of unspecified type of vessel, native or graft",7,,0.52,UNCHECKED,UNREVIEWED,,0,40481919,Coronary atherosclerosis,Condition,MAPS_TO,,<auto>,1733323227056,
V4986,Do not resuscitate status,1,,0.34,UNCHECKED,UNREVIEWED,,0,4149405,"Anoxia, in liveborn infant",Condition,MAPS_TO,,<auto>,1733323227065,
71105,"Pyogenic arthritis, pelvic region and thigh",1,,0.89,UNCHECKED,UNREVIEWED,,0,80177,Pyogenic arthritis of the pelvic region and thigh,Condition,MAPS_TO,,<auto>,1733323227072,
