sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
7861,Stridor,1,,1.00,UNCHECKED,UNREVIEWED,,0,253321,Stridor,Condition,MAPS_TO,,<auto>,1733476606573,
4928,Other emphysema,3,,0.83,UNCHECKED,UNREVIEWED,,0,4050734,Scar emphysema,Condition,MAPS_TO,,<auto>,1733476606673,
70724,"Pressure ulcer, stage IV",3,,0.81,UNCHECKED,UNREVIEWED,,0,37160747,Pressure injury stage I,Condition,MAPS_TO,,<auto>,1733476606873,
5722,Hepatic encephalopathy,4,,1.00,UNCHECKED,UNREVIEWED,,0,4029488,Hepatic encephalopathy,Condition,MAPS_TO,,<auto>,1733476606885,
4549,Asymptomatic varicose veins,1,,0.65,UNCHECKED,UNREVIEWED,,0,312349,Venous varices,Condition,MAPS_TO,,<auto>,1733476606982,
7868,Hiccough,1,,1.00,UNCHECKED,UNREVIEWED,,0,194475,Hiccoughs,Condition,MAPS_TO,,<auto>,1733476607000,
4588,Other specified hypotension,2,,0.61,UNCHECKED,UNREVIEWED,,0,317002,Low blood pressure,Condition,MAPS_TO,,<auto>,1733476607004,
03843,Septicemia due to pseudomonas,1,,0.67,UNCHECKED,UNREVIEWED,,0,4102189,Pseudomonas meningitis,Condition,MAPS_TO,,<auto>,1733476607031,
2760,Hyperosmolality and/or hypernatremia,17,,0.84,UNCHECKED,UNREVIEWED,,0,441829,Hyperosmolality and or hypernatremia,Condition,MAPS_TO,,<auto>,1733476607043,
4010,Malignant essential hypertension,1,,1.00,UNCHECKED,UNREVIEWED,,0,317898,Malignant essential hypertension,Condition,MAPS_TO,,<auto>,1733476607098,
43411,Cerebral embolism with cerebral infarction,1,,0.72,UNCHECKED,UNREVIEWED,,0,43530605,Pulmonary embolism with pulmonary infarction,Condition,MAPS_TO,,<auto>,1733476607141,
00845,Intestinal infection due to Clostridium difficile,7,,0.76,UNCHECKED,UNREVIEWED,,0,193688,Clostridioides difficile infection,Condition,MAPS_TO,,<auto>,1733476607419,
5723,Portal hypertension,3,,1.00,UNCHECKED,UNREVIEWED,,0,192680,Portal hypertension,Condition,MAPS_TO,,<auto>,1733476607515,
4589,"Hypotension, unspecified",2,,0.59,UNCHECKED,UNREVIEWED,,0,317002,Low blood pressure,Condition,MAPS_TO,,<auto>,1733476607593,
44422,Arterial embolism and thrombosis of lower extremity,1,,0.75,UNCHECKED,UNREVIEWED,,0,40481089,Embolism from thrombosis of vein of lower extremity,Condition,MAPS_TO,,<auto>,1733476607679,
78720,"Dysphagia, unspecified",2,,0.64,UNCHECKED,UNREVIEWED,,0,31317,Dysphagia,Condition,MAPS_TO,,<auto>,1733476607734,
99677,Other complications due to internal joint prosthesis,1,,0.71,UNCHECKED,UNREVIEWED,,0,80269,Mechanical complication of internal joint prosthesis,Condition,MAPS_TO,,<auto>,1733476607747,
V1042,Personal history of malignant neoplasm of other parts of uterus,3,,0.69,UNCHECKED,UNREVIEWED,,0,197230,Malignant neoplasm of uterus,Condition,MAPS_TO,,<auto>,1733476608010,
