sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
54829725.0,Furosemide,12,,1.00,UNCHECKED,UNREVIEWED,,0,956874,furosemide,Drug,MAPS_TO,,<auto>,1733477412746,
409198530.0,Lorazepam,44,,1.00,UNCHECKED,UNREVIEWED,,0,791967,lorazepam,Drug,MAPS_TO,,<auto>,1733477412755,
37205014472.0,Ascorbic Acid,6,,1.00,UNCHECKED,UNREVIEWED,,0,19011773,ascorbic acid,Drug,MAPS_TO,,<auto>,1733477412765,
409724101.0,Epinephrine,2,,1.00,UNCHECKED,UNREVIEWED,,0,1343916,epinephrine,Drug,MAPS_TO,,<auto>,1733477412777,
51079004120.0,Folic Acid,2,,1.00,UNCHECKED,UNREVIEWED,,0,19111620,folic acid,Drug,MAPS_TO,,<auto>,1733477412784,
536016097.0,Ascorbic Acid (Liquid),2,,0.58,UNCHECKED,UNREVIEWED,,0,19011773,ascorbic acid,Drug,MAPS_TO,,<auto>,1733477412787,
121054410.0,Docusate Sodium,12,,0.90,UNCHECKED,UNREVIEWED,,0,42706627,docusate sodium 10 MG,Drug,MAPS_TO,,<auto>,1733477412847,
51079033530.0,Docusate Sodium,1,,0.90,UNCHECKED,UNREVIEWED,,0,42706627,docusate sodium 10 MG,Drug,MAPS_TO,,<auto>,1733477412879,
10019025112.0,Atropine Sulfate,2,,0.89,UNCHECKED,UNREVIEWED,,0,40243445,atropine sulfate 10 MG/ML,Drug,MAPS_TO,,<auto>,1733477412899,
51079069020.0,Loperamide HCl,1,,0.74,UNCHECKED,UNREVIEWED,,0,991876,loperamide,Drug,MAPS_TO,,<auto>,1733477412931,
60505260400.0,Zolpidem Tartrate,12,,0.95,UNCHECKED,UNREVIEWED,,0,744795,zolpidem tartrate 10 MG,Drug,MAPS_TO,,<auto>,1733477412934,
51079092920.0,Labetalol HCl,4,,0.77,UNCHECKED,UNREVIEWED,,0,1386957,labetalol,Drug,MAPS_TO,,<auto>,1733477412937,
406831562.0,Morphine SR (MS Contin),7,,0.43,UNCHECKED,UNREVIEWED,,0,40169914,morphine sulfate 100 MG [MS Contin],Drug,MAPS_TO,,<auto>,1733477412939,
54829925.0,Furosemide,7,,1.00,UNCHECKED,UNREVIEWED,,0,956874,furosemide,Drug,MAPS_TO,,<auto>,1733477413005,
51079007220.0,Furosemide,2,,1.00,UNCHECKED,UNREVIEWED,,0,956874,furosemide,Drug,MAPS_TO,,<auto>,1733477413041,
904579461.0,MetFORMIN XR (Glucophage XR),1,,0.48,UNCHECKED,UNREVIEWED,,0,40063356,metformin Oral Tablet [Glucophage],Drug,MAPS_TO,,<auto>,1733477413051,
11509021265.0,Cepacol (Menthol),5,,0.32,UNCHECKED,UNREVIEWED,,0,44785243,menthol 100 MG/ML / methyl salicylate 150 MG/ML Topical Cream [Atopalm Pain Relief],Drug,MAPS_TO,,<auto>,1733477413075,
409724803.0,Hespan,3,,0.62,UNCHECKED,UNREVIEWED,,0,42628903,hetastarch 60 MG/ML Injection [Hespan],Drug,MAPS_TO,,<auto>,1733477413085,
409212202.0,Enalaprilat,1,,1.00,UNCHECKED,UNREVIEWED,,0,1342001,enalaprilat,Drug,MAPS_TO,,<auto>,1733477413113,
37205036174.0,Nicotine Patch,1,,0.63,UNCHECKED,UNREVIEWED,,0,718583,nicotine,Drug,MAPS_TO,,<auto>,1733477413152,
536252525.0,Capsaicin 0.025%,1,,0.80,UNCHECKED,UNREVIEWED,,0,1718244,capsaicin 0.025 MG/ML,Drug,MAPS_TO,,<auto>,1733477413157,
10019051002.0,Diltiazem,11,,1.00,UNCHECKED,UNREVIEWED,,0,1328165,diltiazem,Drug,MAPS_TO,,<auto>,1733477413182,
50242004413.0,Alteplase (Catheter Clearance),12,,0.54,UNCHECKED,UNREVIEWED,,0,1347450,alteplase,Drug,MAPS_TO,,<auto>,1733477413188,
54830125.0,Furosemide,1,,1.00,UNCHECKED,UNREVIEWED,,0,956874,furosemide,Drug,MAPS_TO,,<auto>,1733477413207,
121054410.0,Docusate Sodium (Liquid),37,,0.56,UNCHECKED,UNREVIEWED,,0,42706627,docusate sodium 10 MG,Drug,MAPS_TO,,<auto>,1733477413217,
60793010401.0,Methimazole,3,,1.00,UNCHECKED,UNREVIEWED,,0,1504620,methimazole,Drug,MAPS_TO,,<auto>,1733477413233,
51079033530.0,Docusate Sodium (Liquid),3,,0.56,UNCHECKED,UNREVIEWED,,0,42706627,docusate sodium 10 MG,Drug,MAPS_TO,,<auto>,1733477413234,
51079007320.0,Furosemide,12,,1.00,UNCHECKED,UNREVIEWED,,0,956874,furosemide,Drug,MAPS_TO,,<auto>,1733477413234,
51079095220.0,Enalapril Maleate,3,,0.93,UNCHECKED,UNREVIEWED,,0,40165755,enalapril maleate 10 MG,Drug,MAPS_TO,,<auto>,1733477413443,
51079069120.0,Pyrazinamide,1,,1.00,UNCHECKED,UNREVIEWED,,0,1759455,pyrazinamide,Drug,MAPS_TO,,<auto>,1733477413448,
406833062.0,Morphine SR (MS Contin),5,,0.43,UNCHECKED,UNREVIEWED,,0,40169914,morphine sulfate 100 MG [MS Contin],Drug,MAPS_TO,,<auto>,1733477413458,
904586761.0,Sertraline,1,,1.00,UNCHECKED,UNREVIEWED,,0,739138,sertraline,Drug,MAPS_TO,,<auto>,1733477413479,
51079038620.0,Lorazepam,5,,1.00,UNCHECKED,UNREVIEWED,,0,791967,lorazepam,Drug,MAPS_TO,,<auto>,1733477413500,
50242005306.0,Rituximab,3,,1.00,UNCHECKED,UNREVIEWED,,0,1314273,rituximab,Drug,MAPS_TO,,<auto>,1733477413511,
60793010501.0,Methimazole,2,,1.00,UNCHECKED,UNREVIEWED,,0,1504620,methimazole,Drug,MAPS_TO,,<auto>,1733477413514,
536338101.0,Bisacodyl,17,,1.00,UNCHECKED,UNREVIEWED,,0,924939,bisacodyl,Drug,MAPS_TO,,<auto>,1733477413525,
409217205.0,HYDROmorphone-HP,1,,0.65,UNCHECKED,UNREVIEWED,,0,1126658,hydromorphone,Drug,MAPS_TO,,<auto>,1733477413549,
11980002515.0,Artificial Tears,6,,0.29,UNCHECKED,UNREVIEWED,,0,19008351,polyvinyl alcohol 0.014 ML/ML Ophthalmic Solution [Liquifilm Tears],Drug,MAPS_TO,,<auto>,1733477413558,
54839224.0,HYDROmorphone (Dilaudid),3,,0.74,UNCHECKED,UNREVIEWED,,0,40051251,hydromorphone Oral Tablet [Dilaudid],Drug,MAPS_TO,,<auto>,1733477413601,
10019055302.0,Scopolamine Patch,8,,0.72,UNCHECKED,UNREVIEWED,,0,965748,scopolamine,Drug,MAPS_TO,,<auto>,1733477413607,
51079007420.0,Hydralazine HCl,7,,0.80,UNCHECKED,UNREVIEWED,,0,1373928,hydralazine,Drug,MAPS_TO,,<auto>,1733477413621,
409729501.0,Potassium Phosphate,47,,1.00,UNCHECKED,UNREVIEWED,,0,19027362,potassium phosphate,Drug,MAPS_TO,,<auto>,1733477413647,
51079095701.0,Doxazosin,1,,1.00,UNCHECKED,UNREVIEWED,,0,1363053,doxazosin,Drug,MAPS_TO,,<auto>,1733477413648,
904770418.0,Aspirin EC,6,,0.78,UNCHECKED,UNREVIEWED,,0,1112807,aspirin,Drug,MAPS_TO,,<auto>,1733477413652,
39822020501.0,Pancrelipase 5000,2,,0.89,UNCHECKED,UNREVIEWED,,0,990340,pancrelipase,Drug,MAPS_TO,,<auto>,1733477413656,
51079073320.0,Haloperidol,1,,1.00,UNCHECKED,UNREVIEWED,,0,766529,haloperidol,Drug,MAPS_TO,,<auto>,1733477413705,
51079039620.0,Acetaminophen,2,,1.00,UNCHECKED,UNREVIEWED,,0,1125315,acetaminophen,Drug,MAPS_TO,,<auto>,1733477413752,
409230801.0,Midazolam,2,,1.00,UNCHECKED,UNREVIEWED,,0,708298,midazolam,Drug,MAPS_TO,,<auto>,1733477413780,
15127020017.0,Calcium Carbonate,5,,1.00,UNCHECKED,UNREVIEWED,,0,19035704,calcium carbonate,Drug,MAPS_TO,,<auto>,1733477413834,
60976034647.0,Labetalol HCl,1,,0.77,UNCHECKED,UNREVIEWED,,0,1386957,labetalol,Drug,MAPS_TO,,<auto>,1733477413835,
