sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
1044,Pain Level,187,,0.71,UNCHECKED,UNREVIEWED,,0,4178785,Iron measurement,Measurement,MAPS_TO,,<auto>,1733477545637,
224687,Minute Volume,792,,1.00,UNCHECKED,UNREVIEWED,,0,4353621,Minute volume,Measurement,MAPS_TO,,<auto>,1733477545662,
92,CPP,5,,0.46,UNCHECKED,UNREVIEWED,,0,4353710,Cerebral perfusion pressure,Measurement,MAPS_TO,,<auto>,1733477545725,
603,Radial Pulse [Right],67,,0.70,UNCHECKED,UNREVIEWED,,0,4277123,Radial pulse,Measurement,MAPS_TO,,<auto>,1733477545740,
6702,Arterial BP Mean #2,26,,0.34,UNCHECKED,UNREVIEWED,,0,4090816,Mean arterial flow,Measurement,MAPS_TO,,<auto>,1733477545746,
202,GI#1 Tube PlaceCheck,440,,0.18,UNCHECKED,UNREVIEWED,,0,46286305,Listening Checklist,Measurement,MAPS_TO,,<auto>,1733477545816,
224445,GI #2 Tube Drainage,23,,0.26,UNCHECKED,UNREVIEWED,,0,37160557,Volume of drainage of bile duct,Measurement,MAPS_TO,,<auto>,1733477545828,
223918,RL Strength/Movement,1328,,0.32,UNCHECKED,UNREVIEWED,,0,4065273,Musculoskeletal movement,Measurement,MAPS_TO,,<auto>,1733477545834,
8389,GI Intub #2 [Site],113,,0.15,UNCHECKED,UNREVIEWED,,0,4108578,Short increment sensitivity index test,Measurement,MAPS_TO,,<auto>,1733477545885,
434,Low Exhaled Min Vol,936,,0.47,UNCHECKED,UNREVIEWED,,0,40480257,Measurement of expired nitric oxide,Measurement,MAPS_TO,,<auto>,1733477545898,
224032,Impaired Skin Site #1,1535,,0.29,UNCHECKED,UNREVIEWED,,0,4165442,Scale of early communication skills for hearing impaired children,Measurement,MAPS_TO,,<auto>,1733477545922,
224935,Impaired Skin Site #7,50,,0.27,UNCHECKED,UNREVIEWED,,0,4165442,Scale of early communication skills for hearing impaired children,Measurement,MAPS_TO,,<auto>,1733477545922,
1045,Pain Level/Response,74,,0.35,UNCHECKED,UNREVIEWED,,0,4178785,Iron measurement,Measurement,MAPS_TO,,<auto>,1733477545947,
224903,Impaired Skin Drainage #3,227,,0.29,UNCHECKED,UNREVIEWED,,0,37160560,Volume of drainage of chyle,Measurement,MAPS_TO,,<auto>,1733477545967,
226104,Level of Consciousness,2062,,0.57,UNCHECKED,UNREVIEWED,,0,4169316,OPCS consciousness disability scale,Measurement,MAPS_TO,,<auto>,1733477545969,
8491,Atrial Pacemaker Sense [mA],9,,0.40,UNCHECKED,UNREVIEWED,,0,4092037,Cardiac pacemaker electrocardiographic pattern,Measurement,MAPS_TO,,<auto>,1733477545976,
227368,20 Gauge Dressing Occlusive,704,,0.36,UNCHECKED,UNREVIEWED,,0,4040920,Pulmonary artery wedge pressure,Measurement,MAPS_TO,,<auto>,1733477546004,
6926,Arterial BP #3,13,,0.34,UNCHECKED,UNREVIEWED,,0,4298391,Arterial blood pressure,Measurement,MAPS_TO,,<auto>,1733477546011,
224688,Respiratory Rate (Set),444,,0.68,UNCHECKED,UNREVIEWED,,0,4313591,Respiratory rate,Measurement,MAPS_TO,,<auto>,1733477546057,
604,Radiologic Study,157,,0.77,UNCHECKED,UNREVIEWED,,0,4229297,Viral serologic study,Measurement,MAPS_TO,,<auto>,1733477546059,
93,CT #1 Crepitus,29,,0.16,UNCHECKED,UNREVIEWED,,0,4082179,Tinnitus pitch match,Measurement,MAPS_TO,,<auto>,1733477546108,
203,GI#1 Tube [Status],858,,0.23,UNCHECKED,UNREVIEWED,,0,4120177,Lymphatic tumor invasion status stages,Measurement,MAPS_TO,,<auto>,1733477546121,
223919,LU Strength/Movement,1327,,0.32,UNCHECKED,UNREVIEWED,,0,4065273,Musculoskeletal movement,Measurement,MAPS_TO,,<auto>,1733477546171,
436,Low Insp. Pressure,165,,0.41,UNCHECKED,UNREVIEWED,,0,4058849,Total airway resistance,Measurement,MAPS_TO,,<auto>,1733477546183,
8390,GI#1 Tube [Drain],403,,0.18,UNCHECKED,UNREVIEWED,,0,44789265,Neural tube defect screening test,Measurement,MAPS_TO,,<auto>,1733477546212,
226105,Behavior,1734,,0.76,UNCHECKED,UNREVIEWED,,0,4157239,Behavior rating scale,Measurement,MAPS_TO,,<auto>,1733477546217,
224447,Family Meeting,11,,0.41,UNCHECKED,UNREVIEWED,,0,4121513,Family relations test,Measurement,MAPS_TO,,<auto>,1733477546296,
6927,Arterial Mean #3,13,,0.43,UNCHECKED,UNREVIEWED,,0,4090814,Arterial measure,Measurement,MAPS_TO,,<auto>,1733477546320,
8492,GI Tube #1 [Site],792,,0.19,UNCHECKED,UNREVIEWED,,0,44789265,Neural tube defect screening test,Measurement,MAPS_TO,,<auto>,1733477546322,
1046,Pain Present,1648,,0.57,UNCHECKED,UNREVIEWED,,0,4186275,Paraprotein detected,Measurement,MAPS_TO,,<auto>,1733477546371,
204,GI#2 Tube PlaceCheck,25,,0.18,UNCHECKED,UNREVIEWED,,0,46286305,Listening Checklist,Measurement,MAPS_TO,,<auto>,1733477546414,
224904,Impaired Skin Drainage #4,139,,0.29,UNCHECKED,UNREVIEWED,,0,37160560,Volume of drainage of chyle,Measurement,MAPS_TO,,<auto>,1733477546424,
224037,Impaired Skin Cleanse #1,939,,0.27,UNCHECKED,UNREVIEWED,,0,4165442,Scale of early communication skills for hearing impaired children,Measurement,MAPS_TO,,<auto>,1733477546435,
94,CT #1 Drainage,66,,0.30,UNCHECKED,UNREVIEWED,,0,37160560,Volume of drainage of chyle,Measurement,MAPS_TO,,<auto>,1733477546436,
224937,Impaired Skin Treatment #2,549,,0.27,UNCHECKED,UNREVIEWED,,0,4319911,Delayed skin test reaction,Measurement,MAPS_TO,,<auto>,1733477546455,
439,MDI #1 [Puff],385,,0.22,UNCHECKED,UNREVIEWED,,0,4305411,Non-contact tonometry,Measurement,MAPS_TO,,<auto>,1733477546484,
224689,Respiratory Rate (spontaneous),746,,0.77,UNCHECKED,UNREVIEWED,,0,4154772,Rate of spontaneous respiration,Measurement,MAPS_TO,,<auto>,1733477546489,
605,Reason For Restraint,880,,0.41,UNCHECKED,UNREVIEWED,,0,4108453,Train of four ratio,Measurement,MAPS_TO,,<auto>,1733477546495,
223920,LL Strength/Movement,1313,,0.34,UNCHECKED,UNREVIEWED,,0,4065273,Musculoskeletal movement,Measurement,MAPS_TO,,<auto>,1733477546510,
8391,GI#2 Tube [Drain],68,,0.17,UNCHECKED,UNREVIEWED,,0,44789265,Neural tube defect screening test,Measurement,MAPS_TO,,<auto>,1733477546512,
227369,22 Gauge Dressing Occlusive,71,,0.35,UNCHECKED,UNREVIEWED,,0,4040920,Pulmonary artery wedge pressure,Measurement,MAPS_TO,,<auto>,1733477546515,
7151,HOB Measurement,5,,0.65,UNCHECKED,UNREVIEWED,,0,4048365,Measurement,Measurement,MAPS_TO,,<auto>,1733477546549,
8493,GI Tube #2 [Site],113,,0.19,UNCHECKED,UNREVIEWED,,0,44789265,Neural tube defect screening test,Measurement,MAPS_TO,,<auto>,1733477546639,
1047,Range of Motion,724,,1.00,UNCHECKED,UNREVIEWED,,0,4264818,Range of joint movement,Measurement,MAPS_TO,,<auto>,1733477546687,
205,GI#2 Tube [Status],92,,0.23,UNCHECKED,UNREVIEWED,,0,4120177,Lymphatic tumor invasion status stages,Measurement,MAPS_TO,,<auto>,1733477546699,
95,CT #1 Dressing,142,,0.18,UNCHECKED,UNREVIEWED,,0,44790248,Adrenal suppression test,Measurement,MAPS_TO,,<auto>,1733477546754,
606,Rec. Breath Pressure,1,,0.37,UNCHECKED,UNREVIEWED,,0,44790227,Urea breath test,Measurement,MAPS_TO,,<auto>,1733477546767,
224456,PT Splint Location #2,2,,0.17,UNCHECKED,UNREVIEWED,,0,36684834,Lung allocation score,Measurement,MAPS_TO,,<auto>,1733477546775,
440,MDI #2 [Puff],166,,0.22,UNCHECKED,UNREVIEWED,,0,4305411,Non-contact tonometry,Measurement,MAPS_TO,,<auto>,1733477546783,
227375,Daily Wake Up,1418,,0.38,UNCHECKED,UNREVIEWED,,0,4083068,Daily therapeutic intervention scoring system score,Measurement,MAPS_TO,,<auto>,1733477546822,
224690,Respiratory Rate (Total),518,,0.61,UNCHECKED,UNREVIEWED,,0,4313591,Respiratory rate,Measurement,MAPS_TO,,<auto>,1733477546843,
223921,Neuro Symptoms,452,,0.50,UNCHECKED,UNREVIEWED,,0,4090656,Symptom ratings,Measurement,MAPS_TO,,<auto>,1733477546847,
224905,Impaired Skin Drainage #5,64,,0.29,UNCHECKED,UNREVIEWED,,0,37160560,Volume of drainage of chyle,Measurement,MAPS_TO,,<auto>,1733477546867,
226107,Arterial Line placed in outside facility,620,,0.44,UNCHECKED,UNREVIEWED,,0,4288101,Vessel outside diameter,Measurement,MAPS_TO,,<auto>,1733477546874,
8392,INV Line#1 [Site],1080,,0.18,UNCHECKED,UNREVIEWED,,0,4089822,Near visual acuity,Measurement,MAPS_TO,,<auto>,1733477546877,
1063,bath,20,,0.29,UNCHECKED,UNREVIEWED,,0,4149303,Vigabatrin measurement,Measurement,MAPS_TO,,<auto>,1733477546898,
7914,Insulin Guideline,39,,0.45,UNCHECKED,UNREVIEWED,,0,37312258,Insulin dose,Measurement,MAPS_TO,,<auto>,1733477546905,
224038,Impaired Skin Treatment #1,1299,,0.27,UNCHECKED,UNREVIEWED,,0,4319911,Delayed skin test reaction,Measurement,MAPS_TO,,<auto>,1733477546948,
207,GU Catheter Size,292,,0.42,UNCHECKED,UNREVIEWED,,0,4139794,Length dimension of neoplasm,Measurement,MAPS_TO,,<auto>,1733477546962,
224938,Impaired Skin Treatment #3,185,,0.27,UNCHECKED,UNREVIEWED,,0,4319911,Delayed skin test reaction,Measurement,MAPS_TO,,<auto>,1733477546987,
607,Rec.Breath Time(sec),1,,0.29,UNCHECKED,UNREVIEWED,,0,4064334,Breath test,Measurement,MAPS_TO,,<auto>,1733477547061,
8495,Ventricular Pacemaker Sense [mA],70,,0.41,UNCHECKED,UNREVIEWED,,0,4354251,Ventricular pressure,Measurement,MAPS_TO,,<auto>,1733477547068,
96,CT #1 [Fluctuate],67,,0.14,UNCHECKED,UNREVIEWED,,0,4141409,Strange situation test,Measurement,MAPS_TO,,<auto>,1733477547074,
441,MDI #3 [Puff],31,,0.22,UNCHECKED,UNREVIEWED,,0,4305411,Non-contact tonometry,Measurement,MAPS_TO,,<auto>,1733477547077,
1078,BATH,10,,0.29,UNCHECKED,UNREVIEWED,,0,4149303,Vigabatrin measurement,Measurement,MAPS_TO,,<auto>,1733477547113,
224692,Flow Pattern,712,,0.55,UNCHECKED,UNREVIEWED,,0,4269023,ANCA pattern,Measurement,MAPS_TO,,<auto>,1733477547122,
224561,Impaired Skin Type #1,1048,,0.31,UNCHECKED,UNREVIEWED,,0,4091110,Type 1 hypersensitivity skin test,Measurement,MAPS_TO,,<auto>,1733477547180,
223923,Seizure Activity,423,,0.42,UNCHECKED,UNREVIEWED,,0,44810793,Amylase activity measurement,Measurement,MAPS_TO,,<auto>,1733477547183,
227378,Patient Location,356,,0.40,UNCHECKED,UNREVIEWED,,0,37174447,Patient height,Measurement,MAPS_TO,,<auto>,1733477547229,
8393,INV Line#2 [Site],795,,0.18,UNCHECKED,UNREVIEWED,,0,4089822,Near visual acuity,Measurement,MAPS_TO,,<auto>,1733477547231,
208,Gag Reflex,476,,0.40,UNCHECKED,UNREVIEWED,,0,4297378,Vasospasm reflex,Measurement,MAPS_TO,,<auto>,1733477547241,
224906,Impaired Skin Drainage #6,58,,0.28,UNCHECKED,UNREVIEWED,,0,37160560,Volume of drainage of chyle,Measurement,MAPS_TO,,<auto>,1733477547299,
608,Recruit Breath,1,,0.37,UNCHECKED,UNREVIEWED,,0,4108446,Total breath rate,Measurement,MAPS_TO,,<auto>,1733477547315,
7915,Pt./Family Informed,153,,0.23,UNCHECKED,UNREVIEWED,,0,37175397,Type 1 Diabetes Distress Scale Friend/Family Distress score,Measurement,MAPS_TO,,<auto>,1733477547337,
442,Manual BP [Systolic],2,,0.46,UNCHECKED,UNREVIEWED,,0,4008099,Systole,Measurement,MAPS_TO,,<auto>,1733477547383,
224695,Peak Insp. Pressure,731,,0.70,UNCHECKED,UNREVIEWED,,0,4101694,Peak inspiratory pressure,Measurement,MAPS_TO,,<auto>,1733477547408,
224040,Incision Closure #1,332,,0.26,UNCHECKED,UNREVIEWED,,0,4099394,Static urethral pressure profile,Measurement,MAPS_TO,,<auto>,1733477547437,
8547,ABP Alarm [High],2416,,0.37,UNCHECKED,UNREVIEWED,,0,4298391,Arterial blood pressure,Measurement,MAPS_TO,,<auto>,1733477547443,
1087,Pain Assess Method,1117,,0.47,UNCHECKED,UNREVIEWED,,0,44807161,Short confusion assessment method,Measurement,MAPS_TO,,<auto>,1733477547486,
224939,Impaired Skin Treatment #4,75,,0.26,UNCHECKED,UNREVIEWED,,0,4319911,Delayed skin test reaction,Measurement,MAPS_TO,,<auto>,1733477547494,
210,HOB,1930,,0.43,UNCHECKED,UNREVIEWED,,0,4019984,"Porphobilinogen measurement, quantitative, urine",Measurement,MAPS_TO,,<auto>,1733477547530,
97,CT #1 Suction Amount,72,,0.22,UNCHECKED,UNREVIEWED,,0,4090721,Finding of amniotic fluid volume,Measurement,MAPS_TO,,<auto>,1733477547545,
224562,Impaired Skin Length #1,454,,0.31,UNCHECKED,UNREVIEWED,,0,4097012,Arm length,Measurement,MAPS_TO,,<auto>,1733477547566,
8394,INV Line#3 [Site],399,,0.18,UNCHECKED,UNREVIEWED,,0,4089822,Near visual acuity,Measurement,MAPS_TO,,<auto>,1733477547580,
223924,RLE Sensation,386,,0.33,UNCHECKED,UNREVIEWED,,0,4235942,Measurement of rectal sensation and rectal tone and rectal compliance,Measurement,MAPS_TO,,<auto>,1733477547596,
226109,Cordis/Introducer placed in outside facility,40,,0.33,UNCHECKED,UNREVIEWED,,0,4052914,Density outside reference range,Measurement,MAPS_TO,,<auto>,1733477547610,
609,Remote Alarm,4,,0.29,UNCHECKED,UNREVIEWED,,0,4209253,Urine alanine measurement,Measurement,MAPS_TO,,<auto>,1733477547633,
224696,Plateau Pressure,254,,0.76,UNCHECKED,UNREVIEWED,,0,44782825,Airway plateau pressure,Measurement,MAPS_TO,,<auto>,1733477547660,
8365,Angio Appearance #1 [Attribute 2],141,,0.36,UNCHECKED,UNREVIEWED,,0,4143063,Urine appearance,Measurement,MAPS_TO,,<auto>,1733477547712,
224907,Impaired Skin Drainage #7,50,,0.28,UNCHECKED,UNREVIEWED,,0,37160560,Volume of drainage of chyle,Measurement,MAPS_TO,,<auto>,1733477547725,
227418,Midline Dressing Occlusive,56,,0.38,UNCHECKED,UNREVIEWED,,0,4040920,Pulmonary artery wedge pressure,Measurement,MAPS_TO,,<auto>,1733477547752,
211,Heart Rate,7396,,0.74,UNCHECKED,UNREVIEWED,,0,40481601,Resting heart rate,Measurement,MAPS_TO,,<auto>,1733477547767,
443,Manual BP Mean(calc),2,,0.29,UNCHECKED,UNREVIEWED,,0,4310328,Blood oxygen saturation (calculated),Measurement,MAPS_TO,,<auto>,1733477547768,
1089,PainLevel Acceptable,382,,0.40,UNCHECKED,UNREVIEWED,,0,4120190,Level I,Measurement,MAPS_TO,,<auto>,1733477547808,
8548,CVP Alarm [High],1888,,0.43,UNCHECKED,UNREVIEWED,,0,4323687,Central venous pressure,Measurement,MAPS_TO,,<auto>,1733477547812,
99,CT #2 Drainage,9,,0.29,UNCHECKED,UNREVIEWED,,0,37160560,Volume of drainage of chyle,Measurement,MAPS_TO,,<auto>,1733477547888,
224041,Incision Drainage #1,293,,0.33,UNCHECKED,UNREVIEWED,,0,37160560,Volume of drainage of chyle,Measurement,MAPS_TO,,<auto>,1733477547905,
610,Removed x 5 Mins,724,,0.28,UNCHECKED,UNREVIEWED,,0,4065273,Musculoskeletal movement,Measurement,MAPS_TO,,<auto>,1733477547909,
223925,Seizure Duration,21,,0.32,UNCHECKED,UNREVIEWED,,0,4092021,T wave duration,Measurement,MAPS_TO,,<auto>,1733477547936,
8395,INV Line#4 [Site],160,,0.18,UNCHECKED,UNREVIEWED,,0,4089822,Near visual acuity,Measurement,MAPS_TO,,<auto>,1733477547947,
224563,Impaired Skin Depth #1,267,,0.30,UNCHECKED,UNREVIEWED,,0,4024730,Breslow depth staging for melanoma of skin,Measurement,MAPS_TO,,<auto>,1733477547979,
224940,Impaired Skin Treatment #5,3,,0.26,UNCHECKED,UNREVIEWED,,0,4319911,Delayed skin test reaction,Measurement,MAPS_TO,,<auto>,1733477547998,
212,Heart Rhythm,7095,,0.69,UNCHECKED,UNREVIEWED,,0,4239411,Pulse rhythm,Measurement,MAPS_TO,,<auto>,1733477548002,
224697,Mean Airway Pressure,790,,0.82,UNCHECKED,UNREVIEWED,,0,44782824,Mean inspiratory airway pressure,Measurement,MAPS_TO,,<auto>,1733477548003,
444,Mean Airway Pressure,931,,0.82,UNCHECKED,UNREVIEWED,,0,44782824,Mean inspiratory airway pressure,Measurement,MAPS_TO,,<auto>,1733477548080,
8366,Angio Appearance #2 [Attribute 2],10,,0.36,UNCHECKED,UNREVIEWED,,0,4143063,Urine appearance,Measurement,MAPS_TO,,<auto>,1733477548081,
226112,Midline placed in outside facility,57,,0.40,UNCHECKED,UNREVIEWED,,0,4052914,Density outside reference range,Measurement,MAPS_TO,,<auto>,1733477548182,
1119,seizure pads,39,,0.30,UNCHECKED,UNREVIEWED,,0,4089555,Number of pads used,Measurement,MAPS_TO,,<auto>,1733477548194,
100,CT #2 Dressing,9,,0.17,UNCHECKED,UNREVIEWED,,0,44790248,Adrenal suppression test,Measurement,MAPS_TO,,<auto>,1733477548207,
8549,HR Alarm [High],4047,,0.23,UNCHECKED,UNREVIEWED,,0,764566,Arm span,Measurement,MAPS_TO,,<auto>,1733477548210,
216,Height of Bed,261,,0.59,UNCHECKED,UNREVIEWED,,0,4086991,Height centile,Measurement,MAPS_TO,,<auto>,1733477548241,
224909,Impaired Skin Drainage Amount #2,460,,0.31,UNCHECKED,UNREVIEWED,,0,37160559,Volume of wound drainage of serosanguinous fluid,Measurement,MAPS_TO,,<auto>,1733477548242,
224042,Incision Dressing #1,278,,0.22,UNCHECKED,UNREVIEWED,,0,44790248,Adrenal suppression test,Measurement,MAPS_TO,,<auto>,1733477548279,
611,Replace Rate ml/hr,286,,0.29,UNCHECKED,UNREVIEWED,,0,4198116,Plasma cholesterol/HDL ratio measurement,Measurement,MAPS_TO,,<auto>,1733477548282,
224700,Total PEEP Level,109,,0.44,UNCHECKED,UNREVIEWED,,0,4152995,Urine total protein measurement,Measurement,MAPS_TO,,<auto>,1733477548288,
223926,Neuro Drain #1 Type,225,,0.23,UNCHECKED,UNREVIEWED,,0,4296178,Bacterial strain typing,Measurement,MAPS_TO,,<auto>,1733477548306,
8396,INV Line#5 [Site],87,,0.18,UNCHECKED,UNREVIEWED,,0,4089822,Near visual acuity,Measurement,MAPS_TO,,<auto>,1733477548309,
227419,Presep Catheter Dressing Occlusive,2,,0.39,UNCHECKED,UNREVIEWED,,0,4040920,Pulmonary artery wedge pressure,Measurement,MAPS_TO,,<auto>,1733477548389,
224701,PSV Level,395,,0.53,UNCHECKED,UNREVIEWED,,0,4139434,Clotting factor V assay,Measurement,MAPS_TO,,<auto>,1733477548411,
224564,Impaired Skin Odor #1,894,,0.27,UNCHECKED,UNREVIEWED,,0,4165442,Scale of early communication skills for hearing impaired children,Measurement,MAPS_TO,,<auto>,1733477548421,
446,Micro-Neb Treatment,84,,0.23,UNCHECKED,UNREVIEWED,,0,37154816,Insulin Treatment Appraisal Scale,Measurement,MAPS_TO,,<auto>,1733477548485,
101,CT #2 [Fluctuate],9,,0.14,UNCHECKED,UNREVIEWED,,0,4141409,Strange situation test,Measurement,MAPS_TO,,<auto>,1733477548529,
224941,Impaired Skin Treatment #6,58,,0.26,UNCHECKED,UNREVIEWED,,0,4319911,Delayed skin test reaction,Measurement,MAPS_TO,,<auto>,1733477548537,
217,Heparin Dose,10,,0.52,UNCHECKED,UNREVIEWED,,0,37312258,Insulin dose,Measurement,MAPS_TO,,<auto>,1733477548569,
223930,Neuro Drain #1 Level,86,,0.28,UNCHECKED,UNREVIEWED,,0,4154492,Serum neurotensin measurement,Measurement,MAPS_TO,,<auto>,1733477548575,
8367,Anti-Embolism [Status],1332,,0.30,UNCHECKED,UNREVIEWED,,0,4120177,Lymphatic tumor invasion status stages,Measurement,MAPS_TO,,<auto>,1733477548599,
8550,ICP Alarm [High],4,,0.18,UNCHECKED,UNREVIEWED,,0,764566,Arm span,Measurement,MAPS_TO,,<auto>,1733477548599,
612,Replace.Fluid Infuse,286,,0.26,UNCHECKED,UNREVIEWED,,0,37175301,Fluid pH,Measurement,MAPS_TO,,<auto>,1733477548616,
224702,PCV Level (Avea),2,,0.52,UNCHECKED,UNREVIEWED,,0,4267515,Hematocrit - PCV level - finding,Measurement,MAPS_TO,,<auto>,1733477548634,
1125,Service Type,6646,,0.36,UNCHECKED,UNREVIEWED,,0,37398782,Phenotype observable,Measurement,MAPS_TO,,<auto>,1733477548636,
8397,INV Line#6 [Site],59,,0.17,UNCHECKED,UNREVIEWED,,0,4089822,Near visual acuity,Measurement,MAPS_TO,,<auto>,1733477548659,
227429,Troponin-T,75,,0.42,UNCHECKED,UNREVIEWED,,0,4021291,Troponin measurement,Measurement,MAPS_TO,,<auto>,1733477548697,
449,Minute Volume (Set),4,,0.69,UNCHECKED,UNREVIEWED,,0,4353621,Minute volume,Measurement,MAPS_TO,,<auto>,1733477548735,
224910,Impaired Skin Drainage Amount #3,196,,0.31,UNCHECKED,UNREVIEWED,,0,37160559,Volume of wound drainage of serosanguinous fluid,Measurement,MAPS_TO,,<auto>,1733477548770,
224043,Incision Cleansing #1,162,,0.23,UNCHECKED,UNREVIEWED,,0,4149319,Excision - clear margin,Measurement,MAPS_TO,,<auto>,1733477548784,
1126,Art.pH,570,,0.08,UNCHECKED,UNREVIEWED,,0,4217184,"Coagulation time, Bart test",Measurement,MAPS_TO,,<auto>,1733477548817,
226113,Multi Lumen placed in outside facility,767,,0.39,UNCHECKED,UNREVIEWED,,0,4052914,Density outside reference range,Measurement,MAPS_TO,,<auto>,1733477548818,
224565,Surrounding Tissue #1,1060,,0.32,UNCHECKED,UNREVIEWED,,0,4310396,Grinding of tissue for culture,Measurement,MAPS_TO,,<auto>,1733477548820,
218,High Insp. Pressure,936,,0.36,UNCHECKED,UNREVIEWED,,0,4092464,Uterine pressure,Measurement,MAPS_TO,,<auto>,1733477548877,
223931,Neuro Drain #1 Status,99,,0.31,UNCHECKED,UNREVIEWED,,0,4120177,Lymphatic tumor invasion status stages,Measurement,MAPS_TO,,<auto>,1733477548913,
614,Resp Rate (Spont),758,,0.37,UNCHECKED,UNREVIEWED,,0,4178181,Heart rate response,Measurement,MAPS_TO,,<auto>,1733477548950,
8368,Arterial BP [Diastolic],4504,,0.48,UNCHECKED,UNREVIEWED,,0,35610320,Diastolic arterial pressure,Measurement,MAPS_TO,,<auto>,1733477548952,
8551,NBP Alarm [High],3449,,0.23,UNCHECKED,UNREVIEWED,,0,4175795,"Myelin basic protein measurement, spinal fluid",Measurement,MAPS_TO,,<auto>,1733477548967,
102,CT #2 Suction Amount,9,,0.21,UNCHECKED,UNREVIEWED,,0,4090721,Finding of amniotic fluid volume,Measurement,MAPS_TO,,<auto>,1733477548977,
224705,P High (APRV),2,,0.22,UNCHECKED,UNREVIEWED,,0,4199568,Thigh hair score,Measurement,MAPS_TO,,<auto>,1733477548985,
8398,INV Line#7 [Site],5,,0.17,UNCHECKED,UNREVIEWED,,0,4089822,Near visual acuity,Measurement,MAPS_TO,,<auto>,1733477549023,
224942,Impaired Skin Treatment #7,50,,0.26,UNCHECKED,UNREVIEWED,,0,4319911,Delayed skin test reaction,Measurement,MAPS_TO,,<auto>,1733477549051,
450,Minute Volume(Obser),965,,0.54,UNCHECKED,UNREVIEWED,,0,4353621,Minute volume,Measurement,MAPS_TO,,<auto>,1733477549056,
1127,"WBC   (4-11,000)",419,,0.24,UNCHECKED,UNREVIEWED,,0,4298431,White blood cell count,Measurement,MAPS_TO,,<auto>,1733477549102,
224044,Incision Packing #1,14,,0.22,UNCHECKED,UNREVIEWED,,0,4082167,Connected discourse tracking,Measurement,MAPS_TO,,<auto>,1733477549130,
224631,Pressure Ulcer Stage #1,782,,0.50,UNCHECKED,UNREVIEWED,,0,37158427,Pressure Ulcer Scale for Healing,Measurement,MAPS_TO,,<auto>,1733477549213,
113,CVP,2923,,0.54,UNCHECKED,UNREVIEWED,,0,4323687,Central venous pressure,Measurement,MAPS_TO,,<auto>,1733477549213,
219,High Resp. Rate,914,,0.34,UNCHECKED,UNREVIEWED,,0,4120182,High risk tumor,Measurement,MAPS_TO,,<auto>,1733477549225,
223932,Neuro Drain #1 Drainage,8,,0.27,UNCHECKED,UNREVIEWED,,0,37160560,Volume of drainage of chyle,Measurement,MAPS_TO,,<auto>,1733477549262,
224706,P Low (APRV),2,,0.23,UNCHECKED,UNREVIEWED,,0,4193645,Gas flow rate (v),Measurement,MAPS_TO,,<auto>,1733477549270,
1162,BUN,398,,0.47,UNCHECKED,UNREVIEWED,,0,4017361,Blood urea nitrogen measurement,Measurement,MAPS_TO,,<auto>,1733477549320,
224911,Impaired Skin Drainage Amount #4,133,,0.30,UNCHECKED,UNREVIEWED,,0,37160559,Volume of wound drainage of serosanguinous fluid,Measurement,MAPS_TO,,<auto>,1733477549337,
615,Resp Rate (Total),988,,0.31,UNCHECKED,UNREVIEWED,,0,4191117,Paper wasp venom specific IgE antibody measurement,Measurement,MAPS_TO,,<auto>,1733477549337,
8552,PAP Alarm [High],752,,0.23,UNCHECKED,UNREVIEWED,,0,764566,Arm span,Measurement,MAPS_TO,,<auto>,1733477549350,
8369,Atrial Pacemaker [Capture],10,,0.39,UNCHECKED,UNREVIEWED,,0,4092037,Cardiac pacemaker electrocardiographic pattern,Measurement,MAPS_TO,,<auto>,1733477549362,
454,Motor Response,1965,,0.55,UNCHECKED,UNREVIEWED,,0,4178181,Heart rate response,Measurement,MAPS_TO,,<auto>,1733477549372,
8399,INV Line#8 [Site],51,,0.17,UNCHECKED,UNREVIEWED,,0,4089822,Near visual acuity,Measurement,MAPS_TO,,<auto>,1733477549384,
221,I:E Ratio,500,,0.26,UNCHECKED,UNREVIEWED,,0,4215539,Urine ratio,Measurement,MAPS_TO,,<auto>,1733477549411,
